el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1763996,Prem Das Rai,SDF,22687,6672,66.8,1,21,1,SK,Prem Das Rai,SDF,,,,,True,21,2014,GE
1763997,Tek Nath Dhakal,SKM,22694,2362,23.65,2,21,1,SK,Tek Nath Dhakal,SKM,,,,,False,21,2014,GE
1763998,Akar Dhoj Limbu,INC,22688,408,4.08,3,21,1,SK,Akar Dhoj Limbu,INC,,,,,False,21,2014,GE
1763999,Nar Bahadur Khatiwada,BJP,22690,213,2.13,4,21,1,SK,Nar Bahadur Khatiwada,BJP,,,,,False,21,2014,GE
1764000,Nota,NOTA,22695,163,1.63,5,21,1,SK,Nota,NOTA,,,,,False,21,2014,GE
1764001,Kaushal Rai,AAAP,22696,115,1.15,6,21,1,SK,Kaushal Rai,AAAP,,,,,False,21,2014,GE
1764002,Nakul Das Rai,AITC,22697,55,0.55,7,21,1,SK,Nakul Das Rai,AITC,,,,,False,21,2014,GE
1764003,Prem Das Rai,SDF,22687,5044,54.93,1,21,2,SK,Prem Das Rai,SDF,,,,,True,21,2014,GE
1764004,Tek Nath Dhakal,SKM,22694,3419,37.24,2,21,2,SK,Tek Nath Dhakal,SKM,,,,,False,21,2014,GE
1764005,Akar Dhoj Limbu,INC,22688,284,3.09,3,21,2,SK,Akar Dhoj Limbu,INC,,,,,False,21,2014,GE
1764006,Nar Bahadur Khatiwada,BJP,22690,176,1.92,4,21,2,SK,Nar Bahadur Khatiwada,BJP,,,,,False,21,2014,GE
1764007,Nota,NOTA,22695,148,1.61,5,21,2,SK,Nota,NOTA,,,,,False,21,2014,GE
1764008,Kaushal Rai,AAAP,22696,58,0.63,6,21,2,SK,Kaushal Rai,AAAP,,,,,False,21,2014,GE
1764009,Nakul Das Rai,AITC,22697,53,0.58,7,21,2,SK,Nakul Das Rai,AITC,,,,,False,21,2014,GE
1764010,Prem Das Rai,SDF,22687,7349,70.85,1,21,3,SK,Prem Das Rai,SDF,,,,,True,21,2014,GE
1764011,Tek Nath Dhakal,SKM,22694,2351,22.66,2,21,3,SK,Tek Nath Dhakal,SKM,,,,,False,21,2014,GE
1764012,Akar Dhoj Limbu,INC,22688,214,2.06,3,21,3,SK,Akar Dhoj Limbu,INC,,,,,False,21,2014,GE
