el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1213951,Anniyur Siva Sivashanmugam. A,DMK,14383,124053,63.4951426494825,1,52,75,TN,Anniyur Siva Sivashanmugam. A,DMK,,,,,,52,2024,AE-BP
1213952,Anbumani. C,PMK,14389,56296,28.8144788968849,2,52,75,TN,Anbumani. C,PMK,,,,,,52,2024,AE-BP
1213953,Abinaya. K,NTK,14385,10602,5.42651529886269,3,52,75,TN,Abinaya. K,NTK,,,,,,52,2024,AE-BP
1213954,Sathish. R,IND,14381,932,0.477033791599701,4,52,75,TN,Sathish. R,IND,,,,,,52,2024,AE-BP
1213955,Kalivarathan. K,IND,14381,544,0.278440324710555,5,52,75,TN,Kalivarathan. K,IND,,,,,,52,2024,AE-BP
1213956,Sivasakthi. V,IND,14381,373,0.190915884406318,6,52,75,TN,Sivasakthi. V,IND,,,,,,52,2024,AE-BP
1213957,Ramesh. T,AHIMSASP,14526,348,0.178119913601605,7,52,75,TN,Ramesh. T,AHIMSASP,,,,,,52,2024,AE-BP
1213958,Ulaganathan. S,IND,14381,300,0.153551649656556,8,52,75,TN,Ulaganathan. S,IND,,,,,,52,2024,AE-BP
1213959,Siva. P,IND,14381,290,0.14843326133467,9,52,75,TN,Siva. P,IND,,,,,,52,2024,AE-BP
1213960,Raja Stalin. K,IND,14381,288,0.147409583670293,10,52,75,TN,Raja Stalin. K,IND,,,,,,52,2024,AE-BP
1213961,Agni Aalvar. N,IND,14381,173,0.088548117968614,11,52,75,TN,Agni Aalvar. N,IND,,,,,,52,2024,AE-BP
1213962,Janarthanan. J,IND,14381,160,0.0818942131501632,12,52,75,TN,Janarthanan. J,IND,,,,,,52,2024,AE-BP
1213963,Sekar. S,IND,14381,155,0.0793350189892206,13,52,75,TN,Sekar. S,IND,,,,,,52,2024,AE-BP
1213964,Santhamoorthy. K,AIPMK,14486,126,0.0644916928557535,14,52,75,TN,Santhamoorthy. K,AIPMK,,,,,,52,2024,AE-BP
1213965,Baskar. K,DESMI,14487,106,0.0542549162119831,15,52,75,TN,Baskar. K,DESMI,,,,,,52,2024,AE-BP
1213966,Dakshnamoorthi. S,IND,14381,79,0.0404352677428931,16,52,75,TN,Dakshnamoorthi. S,IND,,,,,,52,2024,AE-BP
1213967,Sekar. P,URPI,14411,78,0.0399234289107045,17,52,75,TN,Sekar. P,URPI,,,,,,52,2024,AE-BP
1213968,Vijaya. S,IND,14381,75,0.038387912414139,18,52,75,TN,Vijaya. S,IND,,,,,,52,2024,AE-BP
1213969,Noormuhamad. A,IND,14381,63,0.0322458464278767,19,52,75,TN,Noormuhamad. A,IND,,,,,,52,2024,AE-BP
1213970,Sarasu. K,APoI,14407,58,0.0296866522669341,20,52,75,TN,Sarasu. K,APoI,,,,,,52,2024,AE-BP
1213971,Arumugam. M.S,IND,14381,50,0.025591941609426,21,52,75,TN,Arumugam. M.S,IND,,,,,,52,2024,AE-BP
1213972,Manikandan. N,NADLMMKLK,14399,40,0.0204735532875408,22,52,75,TN,Manikandan. N,NADLMMKLK,,,,,,52,2024,AE-BP
1213973,Muthaiah. S,THK,14438,38,0.0194498756231637,23,52,75,TN,Muthaiah. S,THK,,,,,,52,2024,AE-BP
1213975,Mohamed Saybulla. P,IND,14381,33,0.0168906814622211,24,52,75,TN,Mohamed Saybulla. P,IND,,,,,,52,2024,AE-BP
1213974,Tamilmani. K,IND,14381,33,0.0168906814622211,24,52,75,TN,Tamilmani. K,IND,,,,,,52,2024,AE-BP
1213976,Mahendiran. S,IND,14381,29,0.014843326133467,26,52,75,TN,Mahendiran. S,IND,,,,,,52,2024,AE-BP
1213977,Dr.Narendran. A.V,IND,14381,18,0.00921309897939336,27,52,75,TN,Dr.Narendran. A.V,IND,,,,,,52,2024,AE-BP
1213979,Dr.Padmarajan. K,IND,14381,17,0.00870126014720484,28,52,75,TN,Dr.Padmarajan. K,IND,,,,,,52,2024,AE-BP
1213978,Mohamed Hanifa. M,TTMMK,14527,17,0.00870126014720484,28,52,75,TN,Mohamed Hanifa. M,TTMMK,,,,,,52,2024,AE-BP
1235242,Tharahai Cuthbert,INC,14376,91054,57.7109319541628,1,52,233,TN,Tharahai Cuthbert,INC,,,,,,52,2024,AE-BP
1235243,Nanthini V S,BJP,14390,50880,32.2482506845147,2,52,233,TN,Nanthini V S,BJP,,,,,,52,2024,AE-BP
1235244,Jemini R,NTK,14385,8150,5.16555116113984,3,52,233,TN,Jemini R,NTK,,,,,,52,2024,AE-BP
1235245,Rani U,AIADMK,14373,5267,3.33827705100902,4,52,233,TN,Rani U,AIADMK,,,,,,52,2024,AE-BP
1235246,Nota,NOTA,14378,919,0.582471351789879,5,52,233,TN,Nota,NOTA,,,,,,52,2024,AE-BP
1235247,Mohan Kumar M,IND,14381,617,0.391060744346415,6,52,233,TN,Mohan Kumar M,IND,,,,,,52,2024,AE-BP
1235248,Shajin R,IND,14381,290,0.183804887942399,7,52,233,TN,Shajin R,IND,,,,,,52,2024,AE-BP
1235249,Manavai Kannan M,IND,14381,178,0.112818172599127,8,52,233,TN,Manavai Kannan M,IND,,,,,,52,2024,AE-BP
1235250,Om Prakash A,IND,14381,167,0.105846263056485,9,52,233,TN,Om Prakash A,IND,,,,,,52,2024,AE-BP
1235251,Vijaya Kumar C,IND,14381,144,0.0912686340127776,10,52,233,TN,Vijaya Kumar C,IND,,,,,,52,2024,AE-BP
1235252,Thangappan C,IND,14381,110,0.0697190954264273,11,52,233,TN,Thangappan C,IND,,,,,,52,2024,AE-BP
