el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1202882,Sekar C H,DMDK,14375,97708,54.3982718688758,1,10,1,TN,Sekar C H,DMDK,Kamma Naidu,GEN,,,False,10,2011,AE
1202883,Sekar K N,PMK,14389,68452,38.1101906288972,2,10,1,TN,Sekar K N,PMK,Vanniyar,OBC,,,False,10,2011,AE
1202884,Selvakumar R,IND,14381,1892,1.05335827543203,3,10,1,TN,Selvakumar R,IND,Vanniyar,OBC,,,False,10,2011,AE
1202885,Chakravarthi Sriraman B,BJP,14390,1883,1.04834758596116,4,10,1,TN,Chakravarthi Sriraman B,BJP,Kamma Naidu,GEN,,,False,10,2011,AE
1202886,Munikrishnan G,JMM,14391,1836,1.02218065205772,5,10,1,TN,Munikrishnan G,JMM,Adi Dravidar,SC,,,False,10,2011,AE
1202887,Velu N,IND,14381,1462,0.813958667379298,6,10,1,TN,Velu N,IND,Vanniyar,OBC,,,False,10,2011,AE
1202888,Asokan G,PB,14392,1425,0.793359166221272,7,10,1,TN,Asokan G,PB,,,,,False,10,2011,AE
1202889,Raja A,IND,14381,1411,0.785564760377694,8,10,1,TN,Raja A,IND,Vanniyar,OBC,,,False,10,2011,AE
1202890,Sudhakar M,RPI,14393,1228,0.683680741136647,9,10,1,TN,Sudhakar M,RPI,,,,,False,10,2011,AE
1202891,Shanmugam P,IND,14381,997,0.555073044717619,10,10,1,TN,Shanmugam P,IND,Vanniyar,OBC,,,False,10,2011,AE
1202892,Srinivasan.D,BSP,14379,835,0.464880634241938,11,10,1,TN,Srinivasan.D,BSP,,,,,False,10,2011,AE
1202893,Elumalai S,IND,14381,487,0.271133974701585,12,10,1,TN,Elumalai S,IND,Vanniyar,OBC,,,False,10,2011,AE
1202988,Pon.Raja,AIADMK,14373,93624,57.4962385236589,1,10,2,TN,Pon.Raja,AIADMK,,,,,False,10,2011,AE
1202989,Manimekalai A.,DMK,14383,62354,38.2927503300887,2,10,2,TN,Manimekalai A.,DMK,Adi Dravidar,SC,,,False,10,2011,AE
1202990,Raja S.,BSP,14379,1347,0.827217735744772,3,10,2,TN,Raja S.,BSP,Adi Dravidar,SC,,,False,10,2011,AE
1202991,Ganesan K.,BJP,14390,1335,0.819848312709184,4,10,2,TN,Ganesan K.,BJP,Adi Dravidar,SC,,,False,10,2011,AE
1202992,Jayakanthans.,IND,14381,1167,0.716676390210949,5,10,2,TN,Jayakanthans.,IND,Adi Dravidar,SC,,,False,10,2011,AE
1202993,Prabakaran N.,PB,14392,754,0.463045414069456,6,10,2,TN,Prabakaran N.,PB,,,,,False,10,2011,AE
1202994,Ragupathik.,IND,14381,637,0.391193539472472,7,10,2,TN,Ragupathik.,IND,Adi Dravidar,SC,,,False,10,2011,AE
1202995,Palanie.,IND,14381,636,0.390579420886173,8,10,2,TN,Palanie.,IND,Adi Dravidar,SC,,,False,10,2011,AE
1202996,Devendiran M.,IND,14381,420,0.257929806245586,9,10,2,TN,Devendiran M.,IND,Adi Dravidar,SC,,,False,10,2011,AE
1202997,Raghupathis.,IND,14381,319,0.195903829029385,10,10,2,TN,Raghupathis.,IND,Adi Dravidar,SC,,,False,10,2011,AE
1202998,Kannimuthuj.S.,IND,14381,242,0.148616697884361,11,10,2,TN,Kannimuthuj.S.,IND,Adi Dravidar,SC,,,False,10,2011,AE
1203108,Arunsubramanian. M,DMDK,14375,95918,50.1566119527078,1,10,3,TN,Arunsubramanian. M,DMDK,Vanniyar,OBC,,,False,10,2011,AE
1203109,Raman.E.S.S.,INC,14376,71988,37.643343076915,2,10,3,TN,Raman.E.S.S.,INC,Senguntha Mudaliyar,OBC,,,True,10,2011,AE
1203110,Subramani.A.K,JMM,14391,9760,5.10361488624063,3,10,3,TN,Subramani.A.K,JMM,Mudaliyar,OBC,,,False,10,2011,AE
1203111,Rambai.S,IND,14381,3232,1.69004951970591,4,10,3,TN,Rambai.S,IND,Mudaliyar,OBC,,,False,10,2011,AE
1203112,Dass D.,BSP,14379,1859,0.972092220647678,5,10,3,TN,Dass D.,BSP,Adi Dravidar,SC,,,False,10,2011,AE
1203113,Rameshkumar.M,IND,14381,1524,0.796916914613803,6,10,3,TN,Rameshkumar.M,IND,Mudaliyar,OBC,,,False,10,2011,AE
1203114,Babu.J.,BJP,14390,1450,0.758221473877962,7,10,3,TN,Babu.J.,BJP,,,,,False,10,2011,AE
1203115,Ramesh.J,PB,14392,1296,0.67769312423851,8,10,3,TN,Ramesh.J,PB,,,,,False,10,2011,AE
1203116,Sureshbabu.N.D.,IND,14381,1242,0.649455910728572,9,10,3,TN,Sureshbabu.N.D.,IND,Mudaliyar,OBC,,,False,10,2011,AE
1203117,Thanigaimalai. M.D.,IJK,14396,1135,0.593504395069991,10,10,3,TN,Thanigaimalai. M.D.,IJK,,,,,False,10,2011,AE
1203118,Chinnappan.M.,IND,14381,710,0.371267066519554,11,10,3,TN,Chinnappan.M.,IND,Mudaliyar,OBC,,,False,10,2011,AE
1203119,Shettu,IND,14381,591,0.309040614525431,12,10,3,TN,Shettu,IND,Mudaliyar,OBC,,,False,10,2011,AE
1203120,Shanmugam.M.,IND,14381,532,0.278188844209018,13,10,3,TN,Shanmugam.M.,IND,Mudaliyar,OBC,,,False,10,2011,AE
1203229,Ramana B.V,AIADMK,14373,91337,53.6913264556329,1,10,4,TN,Ramana B.V,AIADMK,,,,,False,10,2011,AE
1203230,Shiaji E.A.P,DMK,14383,67689,39.7901419627898,2,10,4,TN,Shiaji E.A.P,DMK,Kamma Naidu,GEN,,,True,10,2011,AE
1203231,James E,PB,14392,2220,1.30499955912177,3,10,4,TN,James E,PB,Mudaliyar,OBC,,,False,10,2011,AE
1203232,Janakiraman R.M.R,BJP,14390,1869,1.09866854774711,4,10,4,TN,Janakiraman R.M.R,BJP,Mudaliyar,OBC,,,False,10,2011,AE
1203233,Deivasigamani T.A,RJD,14412,1080,0.634864650383564,5,10,4,TN,Deivasigamani T.A,RJD,Adi Dravidar,SC,,,False,10,2011,AE
1203234,Shanthakumar V,BSP,14379,1039,0.610763307174558,6,10,4,TN,Shanthakumar V,BSP,,,,,False,10,2011,AE
1203235,Badrachalam U,IND,14381,651,0.38268230314787,7,10,4,TN,Badrachalam U,IND,,,,,False,10,2011,AE
1203236,Dinakaran C,IND,14381,496,0.291567469065044,8,10,4,TN,Dinakaran C,IND,,,,,False,10,2011,AE
1203237,Ragavan G,IND,14381,478,0.280986391558651,9,10,4,TN,Ragavan G,IND,,,,,False,10,2011,AE
1203238,Saravanan P,IND,14381,423,0.248655321400229,10,10,4,TN,Saravanan P,IND,,,,,False,10,2011,AE
1203239,Jegan N,IND,14381,415,0.243952620286276,11,10,4,TN,Jegan N,IND,,,,,False,10,2011,AE
1203240,Srinivashan C.J,IND,14381,381,0.223966140551979,12,10,4,TN,Srinivashan C.J,IND,,,,,False,10,2011,AE
1203241,Jayakumar D,IND,14381,297,0.17458777885548,13,10,4,TN,Jayakumar D,IND,,,,,False,10,2011,AE
1203242,Jayavel G,IND,14381,261,0.153425623842694,14,10,4,TN,Jayavel G,IND,,,,,False,10,2011,AE
1203243,Devasheervatham S,RPI,14393,238,0.139905358140081,15,10,4,TN,Devasheervatham S,RPI,,,,,False,10,2011,AE
1203244,Subramanian C,IND,14381,231,0.135790494665373,16,10,4,TN,Subramanian C,IND,,,,,False,10,2011,AE
1203245,Raman V.M,IND,14381,227,0.133439144108397,17,10,4,TN,Raman V.M,IND,,,,,False,10,2011,AE
1203246,Ramesh P,IND,14381,216,0.126972930076712,18,10,4,TN,Ramesh P,IND,,,,,False,10,2011,AE
1203247,Elangovan D,IND,14381,202,0.118743203127296,19,10,4,TN,Elangovan D,IND,,,,,False,10,2011,AE
1203248,Sakthidasan R,IND,14381,133,0.0781824060194574,20,10,4,TN,Sakthidasan R,IND,,,,,False,10,2011,AE
1203249,Sasikumar E.D,IND,14381,120,0.0705405167092848,21,10,4,TN,Sasikumar E.D,IND,,,,,False,10,2011,AE
1203250,Gopal P,IND,14381,112,0.0658378155953325,22,10,4,TN,Gopal P,IND,,,,,False,10,2011,AE
1203350,Manimaran R,AIADMK,14373,99097,54.5895742325002,1,10,5,TN,Manimaran R,AIADMK,,,,,False,10,2011,AE
1203351,Kanchi Gv Mathiazhagan,INC,14376,57678,31.7730855886873,2,10,5,TN,Kanchi Gv Mathiazhagan,INC,Adi Dravidar,SC,,,False,10,2011,AE
1203352,Jaganmoorthy.M,PB,14392,21118,11.6332747574794,3,10,5,TN,Jaganmoorthy.M,PB,Adi Dravidar,SC,,,True,10,2011,AE
1203353,Murali.K,IND,14381,2022,1.11385934082883,4,10,5,TN,Murali.K,IND,Adi Dravidar,SC,,,False,10,2011,AE
1203354,Theinmathi.P,IJK,14396,1616,0.890206080504156,5,10,5,TN,Theinmathi.P,IJK,Adi Dravidar,SC,,,False,10,2011,AE
1203450,Abdul Rahim.S,AIADMK,14373,110102,55.1784622477924,1,10,6,TN,Abdul Rahim.S,AIADMK,,,,,False,10,2011,AE
1203451,Dhamotharan.R,INC,14376,66864,33.5094067295452,2,10,6,TN,Dhamotharan.R,INC,Vanniyar,OBC,,,False,10,2011,AE
1203452,Jayaraman.B.,IND,14381,10460,5.24210927241928,3,10,6,TN,Jayaraman.B.,IND,Vanniyar,OBC,,,False,10,2011,AE
1203453,Loganathan.J,BJP,14390,3795,1.90189337369323,4,10,6,TN,Loganathan.J,BJP,Vanniyar,OBC,,,False,10,2011,AE
1203454,Sathyamurthi.C,BSP,14379,1658,0.830919423869137,5,10,6,TN,Sathyamurthi.C,BSP,Adi Dravidar,SC,,,False,10,2011,AE
1203455,Bakthavachalu.D.,JMM,14391,1336,0.669546652767893,6,10,6,TN,Bakthavachalu.D.,JMM,,,,,False,10,2011,AE
1203456,Jayaramu. L,IND,14381,1114,0.558289649089396,7,10,6,TN,Jayaramu. L,IND,Vanniyar,OBC,,,False,10,2011,AE
1203457,Jayaraman. V,IND,14381,828,0.414958554260341,8,10,6,TN,Jayaraman. V,IND,Vanniyar,OBC,,,False,10,2011,AE
1203458,Raviarumugam B,IND,14381,585,0.293177239423067,9,10,6,TN,Raviarumugam B,IND,Vanniyar,OBC,,,False,10,2011,AE
1203459,Mullaitamilan.A,IND,14381,541,0.271126301757058,10,10,6,TN,Mullaitamilan.A,IND,Vanniyar,OBC,,,False,10,2011,AE
1203460,Shanavaskhan. J,IND,14381,471,0.236045264561136,11,10,6,TN,Shanavaskhan. J,IND,Vanniyar,OBC,,,False,10,2011,AE
1203461,Paramanantham.Dr. M.,LSP,14418,416,0.208481592478625,12,10,6,TN,Paramanantham.Dr. M.,LSP,,,,,False,10,2011,AE
1203462,Ragulan.S,IND,14381,391,0.195952650622938,13,10,6,TN,Ragulan.S,IND,Vanniyar,OBC,,,False,10,2011,AE
1203463,Govindaraj. P,IND,14381,290,0.145335725525964,14,10,6,TN,Govindaraj. P,IND,Vanniyar,OBC,,,False,10,2011,AE
1203464,Amaravathi M,IND,14381,277,0.138820675761007,15,10,6,TN,Amaravathi M,IND,Vanniyar,OBC,,,False,10,2011,AE
1203465,Kothandan. R. K,IND,14381,157,0.078681754853712,16,10,6,TN,Kothandan. R. K,IND,Vanniyar,OBC,,,False,10,2011,AE
