el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1202832,Venugopal.P,AIADMK,14373,101570,52.4367578729994,1,21,1,TN,Venugopal.P,AIADMK,Adi Dravidar,SC,,,True,21,2014,GE
1202833,Ravikumar.D,VCK,14374,40215,20.7614868353123,2,21,1,TN,Ravikumar.D,VCK,Adi Dravidar,SC,,,False,21,2014,GE
1202834,Yuvaraj. V,DMDK,14375,36472,18.8291171915332,3,21,1,TN,Yuvaraj. V,DMDK,Adi Dravidar,SC,,,False,21,2014,GE
1202835,Jayakumar.M,INC,14376,5692,2.93856479091378,4,21,1,TN,Jayakumar.M,INC,Adi Dravidar,SC,,,False,21,2014,GE
1202836,Kannan A.S,CPI,14377,2554,1.31853381517811,5,21,1,TN,Kannan A.S,CPI,,,,,False,21,2014,GE
1202837,None Of The Above,NOTA,14378,2365,1.22096024780588,6,21,1,TN,None Of The Above,NOTA,,,,,,21,2014,GE
1202838,Sathyamurthy.C,BSP,14379,1130,0.583376355188435,7,21,1,TN,Sathyamurthy.C,BSP,,,,,False,21,2014,GE
1202839,Balamurugan.B,AAAP,14380,659,0.340216830149716,8,21,1,TN,Balamurugan.B,AAAP,,,,,False,21,2014,GE
1202840,Ravikumar.M,IND,14381,643,0.331956633970056,9,21,1,TN,Ravikumar.M,IND,,,,,False,21,2014,GE
1202841,Vetriselvam.K,IND,14381,522,0.269488900361383,10,21,1,TN,Vetriselvam.K,IND,,,,,False,21,2014,GE
1202842,Srinivasan.D,SP,14382,468,0.241610738255033,11,21,1,TN,Srinivasan.D,SP,,,,,False,21,2014,GE
1202843,Doss.R,IND,14381,422,0.217862674238513,12,21,1,TN,Doss.R,IND,,,,,False,21,2014,GE
1202844,Venugopal.P,IND,14381,414,0.213732576148683,13,21,1,TN,Venugopal.P,IND,,,,,False,21,2014,GE
1202845,Chandrasekaran.M,IND,14381,333,0.171915332989158,14,21,1,TN,Chandrasekaran.M,IND,,,,,False,21,2014,GE
1202846,Suresh Kumar.S,IND,14381,241,0.124419204956117,15,21,1,TN,Suresh Kumar.S,IND,,,,,False,21,2014,GE
1202938,Venugopal.P,AIADMK,14373,95281,53.472475545354,1,21,2,TN,Venugopal.P,AIADMK,Adi Dravidar,SC,,,True,21,2014,GE
1202939,Ravikumar.D,VCK,14374,47219,26.4996885294662,2,21,2,TN,Ravikumar.D,VCK,Adi Dravidar,SC,,,False,21,2014,GE
1202940,Yuvaraj. V,DMDK,14375,22716,12.7484047657797,3,21,2,TN,Yuvaraj. V,DMDK,Adi Dravidar,SC,,,False,21,2014,GE
1202941,Jayakumar.M,INC,14376,4448,2.49625393547228,4,21,2,TN,Jayakumar.M,INC,Adi Dravidar,SC,,,False,21,2014,GE
1202942,None Of The Above,NOTA,14378,2418,1.35700135251168,5,21,2,TN,None Of The Above,NOTA,,,,,,21,2014,GE
1202943,Kannan A.S,CPI,14377,2059,1.15552761986003,6,21,2,TN,Kannan A.S,CPI,,,,,False,21,2014,GE
1202944,Sathyamurthy.C,BSP,14379,1046,0.587023744717628,7,21,2,TN,Sathyamurthy.C,BSP,,,,,False,21,2014,GE
1202945,Balamurugan.B,AAAP,14380,760,0.426518208399041,8,21,2,TN,Balamurugan.B,AAAP,,,,,False,21,2014,GE
1202946,Ravikumar.M,IND,14381,471,0.264329047573616,9,21,2,TN,Ravikumar.M,IND,,,,,False,21,2014,GE
1202947,Venugopal.P,IND,14381,379,0.212697896030574,10,21,2,TN,Venugopal.P,IND,,,,,False,21,2014,GE
1202948,Vetriselvam.K,IND,14381,374,0.209891855185844,11,21,2,TN,Vetriselvam.K,IND,,,,,False,21,2014,GE
1202949,Srinivasan.D,SP,14382,348,0.195300442793245,12,21,2,TN,Srinivasan.D,SP,,,,,False,21,2014,GE
1202950,Chandrasekaran.M,IND,14381,270,0.151526205615448,13,21,2,TN,Chandrasekaran.M,IND,,,,,False,21,2014,GE
1202951,Doss.R,IND,14381,245,0.137496001391796,14,21,2,TN,Doss.R,IND,,,,,False,21,2014,GE
1202952,Suresh Kumar.S,IND,14381,153,0.0858648498487543,15,21,2,TN,Suresh Kumar.S,IND,,,,,False,21,2014,GE
1203040,Hari G.,AIADMK,14373,100165,48.86,1,21,3,TN,Hari G.,AIADMK,Vanniyar,OBC,,,False,21,2014,GE
1203041,Elango N.R,DMK,14383,45619,22.2527365319701,2,21,3,TN,Elango N.R,DMK,Mudaliyar,GEN,,,False,21,2014,GE
1203042,Velu R,PMK,14389,34668,16.9108895436186,3,21,3,TN,Velu R,PMK,Vanniyar,OBC,,,False,21,2014,GE
1203043,Rajesh R,INC,14376,14549,7.09693469395719,4,21,3,TN,Rajesh R,INC,Vanniyar,OBC,,,False,21,2014,GE
1203044,Dass D.,BSP,14379,2255,1.09997853700415,5,21,3,TN,Dass D.,BSP,,,,,False,21,2014,GE
1203045,None Of The Above,NOTA,14378,1481,0.722424928294082,6,21,3,TN,None Of The Above,NOTA,,,,,,21,2014,GE
1203046,Panchu.Udayakumar,IND,14381,1311,0.639499717078691,7,21,3,TN,Panchu.Udayakumar,IND,,,,,False,21,2014,GE
1203047,Gajendran S.,IND,14381,1067,0.5204776492166,8,21,3,TN,Gajendran S.,IND,,,,,False,21,2014,GE
1203048,Rajesh S.,AAAP,14380,583,0.284384694932781,9,21,3,TN,Rajesh S.,AAAP,,,,,False,21,2014,GE
1203049,Ravi V.,IND,14381,427,0.208288618758658,10,21,3,TN,Ravi V.,IND,,,,,False,21,2014,GE
1203050,Elangovan D.,IND,14381,373,0.181947669313769,11,21,3,TN,Elangovan D.,IND,,,,,False,21,2014,GE
1203051,Hari S.,IND,14381,308,0.150240970907884,12,21,3,TN,Hari S.,IND,,,,,False,21,2014,GE
1203052,Gopinathan G.,IND,14381,275,0.134143724024897,13,21,3,TN,Gopinathan G.,IND,,,,,False,21,2014,GE
1203053,Viswanathan P.,IND,14381,223,0.108778365300189,14,21,3,TN,Viswanathan P.,IND,,,,,False,21,2014,GE
1203054,Elango N.,IND,14381,199,0.0970712766580164,15,21,3,TN,Elango N.,IND,,,,,False,21,2014,GE
1203055,Elangovan A.,IND,14381,189,0.092193323057111,16,21,3,TN,Elangovan A.,IND,,,,,False,21,2014,GE
1203056,Arun N.,IND,14381,129,0.0629256014516789,17,21,3,TN,Arun N.,IND,,,,,False,21,2014,GE
1203057,Velu V.,IND,14381,129,0.0629256014516789,17,21,3,TN,Velu V.,IND,,,,,False,21,2014,GE
1203058,Velu D.,IND,14381,127,0.0619500107314979,19,21,3,TN,Velu D.,IND,,,,,False,21,2014,GE
1203059,Vadivel A.,IND,14381,126,0.0614622153714073,20,21,3,TN,Vadivel A.,IND,,,,,False,21,2014,GE
1203060,Hari S.,IND,14381,125,0.0609744200113168,21,21,3,TN,Hari S.,IND,,,,,False,21,2014,GE
1203061,Sridhar R.S,IND,14381,123,0.0599988292911357,22,21,3,TN,Sridhar R.S,IND,,,,,False,21,2014,GE
1203062,Elango D.,IND,14381,103,0.050242922089325,23,21,3,TN,Elango D.,IND,,,,,False,21,2014,GE
1203063,Harikrishnan P.,IND,14381,98,0.0478039452888724,24,21,3,TN,Harikrishnan P.,IND,,,,,False,21,2014,GE
1203064,Shettu S.,IND,14381,96,0.0468283545686913,25,21,3,TN,Shettu S.,IND,,,,,False,21,2014,GE
