el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1784551,Pranab Debbarma,CPM,22930,14439,54.86,1,1,1,TR,Pranab Debbarma,CPM,,,,,False,1,2008,AE
1784552,Rabindra Debbarma,INPT,22931,11108,42.2,2,1,1,TR,Rabindra Debbarma,INPT,,,,,False,1,2008,AE
1784553,Rabindra Kishore Debbarma,IND,22919,517,1.96,3,1,1,TR,Rabindra Kishore Debbarma,IND,,,,,False,1,2008,AE
1784554,Rita Rani Debbarma,AITC,22928,257,0.98,4,1,1,TR,Rita Rani Debbarma,AITC,,,,,False,1,2008,AE
1784555,Ratan Lal Nath,INC,22917,14349,50.74,1,1,2,TR,Ratan Lal Nath,INC,,,,,False,1,2008,AE
1784556,Subhas Chandra Debnath,CPM,22930,12993,45.95,2,1,2,TR,Subhas Chandra Debnath,CPM,,,,,False,1,2008,AE
1784557,Dhirendra Debnath,BJP,22916,478,1.69,3,1,2,TR,Dhirendra Debnath,BJP,,,,,False,1,2008,AE
1784558,Joy Kumar Deb,AMB,22929,458,1.62,4,1,2,TR,Joy Kumar Deb,AMB,,,,,False,1,2008,AE
1784559,Haricharan Sarkar,CPM,22930,17324,52.07,1,1,3,TR,Haricharan Sarkar,CPM,,,,,False,1,2008,AE
1784560,Prakash Chandra Das,INC,22917,14944,44.91,2,1,3,TR,Prakash Chandra Das,INC,,,,,False,1,2008,AE
1784561,Samir Biswas,BJP,22916,367,1.1,3,1,3,TR,Samir Biswas,BJP,,,,,False,1,2008,AE
1784562,Brajendra Das,AMB,22929,366,1.1,4,1,3,TR,Brajendra Das,AMB,,,,,False,1,2008,AE
1784563,Papri Podder(Biswas),AITC,22928,271,0.81,5,1,3,TR,Papri Podder(Biswas),AITC,,,,,False,1,2008,AE
1784564,Sankar Prasad Datta,CPM,22930,24853,48.93,1,1,4,TR,Sankar Prasad Datta,CPM,,,,,False,1,2008,AE
1784565,Dipak Kumar Roy,INC,22917,24255,47.76,2,1,4,TR,Dipak Kumar Roy,INC,,,,,False,1,2008,AE
1784566,Pulak Kumar Debnath,BJP,22916,697,1.37,3,1,4,TR,Pulak Kumar Debnath,BJP,,,,,False,1,2008,AE
1784567,Pradip Chakraborty,AITC,22928,371,0.73,4,1,4,TR,Pradip Chakraborty,AITC,,,,,False,1,2008,AE
1784568,Sanjib Dey,NCP,22943,356,0.7,5,1,4,TR,Sanjib Dey,NCP,,,,,False,1,2008,AE
1784569,Jayanta Kumar Datta,AIFB,22932,257,0.51,6,1,4,TR,Jayanta Kumar Datta,AIFB,,,,,False,1,2008,AE
1784570,Pabitra Kar,CPM,22930,18833,49.67,1,1,5,TR,Pabitra Kar,CPM,,,,,False,1,2008,AE
1784571,Ratan Chakraborti,INC,22917,17832,47.03,2,1,5,TR,Ratan Chakraborti,INC,,,,,False,1,2008,AE
1784572,Pranjit Banik,BJP,22916,639,1.69,3,1,5,TR,Pranjit Banik,BJP,,,,,False,1,2008,AE
1784573,Putul Ghosh,AITC,22928,615,1.62,4,1,5,TR,Putul Ghosh,AITC,,,,,False,1,2008,AE
1784574,Sudip Roy Barman,INC,22917,21019,50.82,1,1,6,TR,Sudip Roy Barman,INC,,,,,False,1,2008,AE
1784575,Bikash Roy,CPM,22930,19194,46.41,2,1,6,TR,Bikash Roy,CPM,,,,,False,1,2008,AE
1784576,Milan Chakraborty,BJP,22916,528,1.28,3,1,6,TR,Milan Chakraborty,BJP,,,,,False,1,2008,AE
1784577,Shibani Bhowmik,IND,22919,389,0.94,4,1,6,TR,Shibani Bhowmik,IND,,,,,False,1,2008,AE
1784578,Lalit Mohan Goswami,AITC,22928,231,0.56,5,1,6,TR,Lalit Mohan Goswami,AITC,,,,,False,1,2008,AE
1784579,Surajit Datta,INC,22917,16569,52.22,1,1,7,TR,Surajit Datta,INC,,,,,False,1,2008,AE
1784580,Ratan Das,CPM,22930,14198,44.74,2,1,7,TR,Ratan Das,CPM,,,,,False,1,2008,AE
1784581,Nilima Ghosh,BJP,22916,595,1.88,3,1,7,TR,Nilima Ghosh,BJP,,,,,False,1,2008,AE
