el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1780896,Biplab Kumar Deb,BJP,22916,22124,73.17,1,53,1,TR,Biplab Kumar Deb,BJP,,,,,True,53,2024,GE
1780897,Asish Kumar Saha,INC,22917,5826,19.27,2,53,1,TR,Asish Kumar Saha,INC,,,,,False,53,2024,GE
1780898,Nota,NOTA,22918,496,1.64,3,53,1,TR,Nota,NOTA,,,,,False,53,2024,GE
1780899,Milan Pada Murasing,IND,22919,329,1.09,4,53,1,TR,Milan Pada Murasing,IND,,,,,False,53,2024,GE
1780900,Arun Kumar Bhaumik,SUCI,22920,311,1.03,5,53,1,TR,Arun Kumar Bhaumik,SUCI,,,,,False,53,2024,GE
1780901,Gouri Sankar Nandi,IND,22919,288,0.95,6,53,1,TR,Gouri Sankar Nandi,IND,,,,,False,53,2024,GE
1780902,Ramendra Reang,IND,22919,288,0.95,6,53,1,TR,Ramendra Reang,IND,,,,,False,53,2024,GE
1780903,Balaram Debbarma,IND,22919,241,0.8,8,53,1,TR,Balaram Debbarma,IND,,,,,False,53,2024,GE
1780904,Brajalal Debnath,IND,22919,195,0.64,9,53,1,TR,Brajalal Debnath,IND,,,,,False,53,2024,GE
1780905,Arnab Roy,RPI(A),22921,137,0.45,10,53,1,TR,Arnab Roy,RPI(A),,,,,False,53,2024,GE
1780906,Biplab Kumar Deb,BJP,22916,34852,86.4,1,53,2,TR,Biplab Kumar Deb,BJP,,,,,True,53,2024,GE
1780907,Asish Kumar Saha,INC,22917,3883,9.63,2,53,2,TR,Asish Kumar Saha,INC,,,,,False,53,2024,GE
1780908,Nota,NOTA,22918,361,0.89,3,53,2,TR,Nota,NOTA,,,,,False,53,2024,GE
1780909,Ramendra Reang,IND,22919,273,0.68,4,53,2,TR,Ramendra Reang,IND,,,,,False,53,2024,GE
1780910,Arun Kumar Bhaumik,SUCI,22920,259,0.64,5,53,2,TR,Arun Kumar Bhaumik,SUCI,,,,,False,53,2024,GE
1780911,Milan Pada Murasing,IND,22919,201,0.5,6,53,2,TR,Milan Pada Murasing,IND,,,,,False,53,2024,GE
1780912,Gouri Sankar Nandi,IND,22919,179,0.44,7,53,2,TR,Gouri Sankar Nandi,IND,,,,,False,53,2024,GE
1780913,Balaram Debbarma,IND,22919,133,0.33,8,53,2,TR,Balaram Debbarma,IND,,,,,False,53,2024,GE
1780914,Brajalal Debnath,IND,22919,99,0.25,9,53,2,TR,Brajalal Debnath,IND,,,,,False,53,2024,GE
1780915,Arnab Roy,RPI(A),22921,96,0.24,10,53,2,TR,Arnab Roy,RPI(A),,,,,False,53,2024,GE
1780916,Biplab Kumar Deb,BJP,22916,28866,71.46,1,53,3,TR,Biplab Kumar Deb,BJP,,,,,True,53,2024,GE
1780917,Asish Kumar Saha,INC,22917,9650,23.89,2,53,3,TR,Asish Kumar Saha,INC,,,,,False,53,2024,GE
1780918,Nota,NOTA,22918,462,1.14,3,53,3,TR,Nota,NOTA,,,,,False,53,2024,GE
1780919,Ramendra Reang,IND,22919,290,0.72,4,53,3,TR,Ramendra Reang,IND,,,,,False,53,2024,GE
1780920,Gouri Sankar Nandi,IND,22919,289,0.72,5,53,3,TR,Gouri Sankar Nandi,IND,,,,,False,53,2024,GE
1780921,Arun Kumar Bhaumik,SUCI,22920,280,0.69,6,53,3,TR,Arun Kumar Bhaumik,SUCI,,,,,False,53,2024,GE
1780922,Milan Pada Murasing,IND,22919,185,0.46,7,53,3,TR,Milan Pada Murasing,IND,,,,,False,53,2024,GE
1780923,Balaram Debbarma,IND,22919,140,0.35,8,53,3,TR,Balaram Debbarma,IND,,,,,False,53,2024,GE
1780924,Arnab Roy,RPI(A),22921,121,0.3,9,53,3,TR,Arnab Roy,RPI(A),,,,,False,53,2024,GE
1780925,Brajalal Debnath,IND,22919,110,0.27,10,53,3,TR,Brajalal Debnath,IND,,,,,False,53,2024,GE
1780926,Biplab Kumar Deb,BJP,22916,27892,70.79,1,53,4,TR,Biplab Kumar Deb,BJP,,,,,True,53,2024,GE
1780927,Asish Kumar Saha,INC,22917,9925,25.19,2,53,4,TR,Asish Kumar Saha,INC,,,,,False,53,2024,GE
1780928,Nota,NOTA,22918,433,1.1,3,53,4,TR,Nota,NOTA,,,,,False,53,2024,GE
1780929,Gouri Sankar Nandi,IND,22919,291,0.74,4,53,4,TR,Gouri Sankar Nandi,IND,,,,,False,53,2024,GE
1780930,Arun Kumar Bhaumik,SUCI,22920,233,0.59,5,53,4,TR,Arun Kumar Bhaumik,SUCI,,,,,False,53,2024,GE
1780931,Ramendra Reang,IND,22919,201,0.51,6,53,4,TR,Ramendra Reang,IND,,,,,False,53,2024,GE
1780932,Milan Pada Murasing,IND,22919,152,0.39,7,53,4,TR,Milan Pada Murasing,IND,,,,,False,53,2024,GE
1780933,Arnab Roy,RPI(A),22921,100,0.25,8,53,4,TR,Arnab Roy,RPI(A),,,,,False,53,2024,GE
1780934,Brajalal Debnath,IND,22919,97,0.25,9,53,4,TR,Brajalal Debnath,IND,,,,,False,53,2024,GE
1780935,Balaram Debbarma,IND,22919,79,0.2,10,53,4,TR,Balaram Debbarma,IND,,,,,False,53,2024,GE
1780936,Biplab Kumar Deb,BJP,22916,33381,79.64,1,53,5,TR,Biplab Kumar Deb,BJP,,,,,True,53,2024,GE
1780937,Asish Kumar Saha,INC,22917,6704,15.99,2,53,5,TR,Asish Kumar Saha,INC,,,,,False,53,2024,GE
1780938,Nota,NOTA,22918,420,1.0,3,53,5,TR,Nota,NOTA,,,,,False,53,2024,GE
1780940,Ramendra Reang,IND,22919,299,0.71,4,53,5,TR,Ramendra Reang,IND,,,,,False,53,2024,GE
1780939,Arun Kumar Bhaumik,SUCI,22920,299,0.71,4,53,5,TR,Arun Kumar Bhaumik,SUCI,,,,,False,53,2024,GE
1780941,Gouri Sankar Nandi,IND,22919,286,0.68,6,53,5,TR,Gouri Sankar Nandi,IND,,,,,False,53,2024,GE
1780942,Milan Pada Murasing,IND,22919,200,0.48,7,53,5,TR,Milan Pada Murasing,IND,,,,,False,53,2024,GE
1780943,Arnab Roy,RPI(A),22921,113,0.27,8,53,5,TR,Arnab Roy,RPI(A),,,,,False,53,2024,GE
1780944,Balaram Debbarma,IND,22919,108,0.26,9,53,5,TR,Balaram Debbarma,IND,,,,,False,53,2024,GE
1780945,Brajalal Debnath,IND,22919,106,0.25,10,53,5,TR,Brajalal Debnath,IND,,,,,False,53,2024,GE
1780946,Biplab Kumar Deb,BJP,22916,27158,63.79,1,53,6,TR,Biplab Kumar Deb,BJP,,,,,True,53,2024,GE
1780947,Asish Kumar Saha,INC,22917,13903,32.66,2,53,6,TR,Asish Kumar Saha,INC,,,,,False,53,2024,GE
1780948,Nota,NOTA,22918,555,1.3,3,53,6,TR,Nota,NOTA,,,,,False,53,2024,GE
1780949,Arun Kumar Bhaumik,SUCI,22920,231,0.54,4,53,6,TR,Arun Kumar Bhaumik,SUCI,,,,,False,53,2024,GE
1780950,Ramendra Reang,IND,22919,209,0.49,5,53,6,TR,Ramendra Reang,IND,,,,,False,53,2024,GE
1780951,Gouri Sankar Nandi,IND,22919,161,0.38,6,53,6,TR,Gouri Sankar Nandi,IND,,,,,False,53,2024,GE
1780952,Milan Pada Murasing,IND,22919,132,0.31,7,53,6,TR,Milan Pada Murasing,IND,,,,,False,53,2024,GE
1780953,Brajalal Debnath,IND,22919,80,0.19,8,53,6,TR,Brajalal Debnath,IND,,,,,False,53,2024,GE
1780954,Arnab Roy,RPI(A),22921,77,0.18,9,53,6,TR,Arnab Roy,RPI(A),,,,,False,53,2024,GE
1780955,Balaram Debbarma,IND,22919,67,0.16,10,53,6,TR,Balaram Debbarma,IND,,,,,False,53,2024,GE
1780956,Biplab Kumar Deb,BJP,22916,23433,70.44,1,53,7,TR,Biplab Kumar Deb,BJP,,,,,True,53,2024,GE
1780957,Asish Kumar Saha,INC,22917,8480,25.49,2,53,7,TR,Asish Kumar Saha,INC,,,,,False,53,2024,GE
1780958,Nota,NOTA,22918,488,1.47,3,53,7,TR,Nota,NOTA,,,,,False,53,2024,GE
1780959,Gouri Sankar Nandi,IND,22919,213,0.64,4,53,7,TR,Gouri Sankar Nandi,IND,,,,,False,53,2024,GE
1780960,Arun Kumar Bhaumik,SUCI,22920,189,0.57,5,53,7,TR,Arun Kumar Bhaumik,SUCI,,,,,False,53,2024,GE
1780961,Ramendra Reang,IND,22919,116,0.35,6,53,7,TR,Ramendra Reang,IND,,,,,False,53,2024,GE
1780962,Milan Pada Murasing,IND,22919,112,0.34,7,53,7,TR,Milan Pada Murasing,IND,,,,,False,53,2024,GE
