el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1974591,Koneru Konappa,BSP,22712,49033,32.41,1,19,1,TS,Koneru Konappa,BSP,,GEN,MALE,58,,19,2014,AE
1974592,Kaveti Sammaiah,TRS,22709,40196,26.57,2,19,1,TS,Kaveti Sammaiah,TRS,,GEN,MALE,57,,19,2014,AE
1974593,Kokkirala Prem Sagar Rao,INC,22710,26955,17.82,3,19,1,TS,Kokkirala Prem Sagar Rao,INC,,GEN,MALE,50,,19,2014,AE
1974594,Raavi Srinivas Rao,TDP,22723,19359,12.8,4,19,1,TS,Raavi Srinivas Rao,TDP,,GEN,MALE,40,,19,2014,AE
1974595,M.D Razi Hyder.,MASP,22736,4675,3.09,5,19,1,TS,M.D Razi Hyder.,MASP,,GEN,MALE,59,,19,2014,AE
1974596,Mohammad Jabbar Khan.,IND,22713,3769,2.49,6,19,1,TS,Mohammad Jabbar Khan.,IND,,GEN,MALE,50,,19,2014,AE
1974597,None of The Above,NOTA,22714,1756,1.16,7,19,1,TS,None of The Above,NOTA,,,,,,19,2014,AE
1974598,Durgam. Shyam Rao,IND,22713,1614,1.07,8,19,1,TS,Durgam. Shyam Rao,IND,,SC,MALE,57,,19,2014,AE
1974599,Murali Krishna.R.,IND,22713,1263,0.83,9,19,1,TS,Murali Krishna.R.,IND,,GEN,MALE,38,,19,2014,AE
1974600,M.Ramchander,IND,22713,933,0.62,10,19,1,TS,M.Ramchander,IND,,SC,MALE,54,,19,2014,AE
1974601,Lendugure Mengaji Patel,BCUF,22737,923,0.61,11,19,1,TS,Lendugure Mengaji Patel,BCUF,,GEN,MALE,62,,19,2014,AE
1974602,Shabbir Hussain,YSRCP,22738,812,0.54,12,19,1,TS,Shabbir Hussain,YSRCP,,GEN,MALE,38,,19,2014,AE
1974603,Nallala Odelu,TRS,22709,64867,50.79,1,19,2,TS,Nallala Odelu,TRS,,SC,MALE,50,,19,2014,AE
1974604,Gaddam Vinod,INC,22710,38703,30.3,2,19,2,TS,Gaddam Vinod,INC,,SC,MALE,57,,19,2014,AE
1974605,Ram Venu,BJP,22711,7879,6.17,3,19,2,TS,Ram Venu,BJP,,SC,MALE,39,,19,2014,AE
1974606,Sogala Sanjeev,RP(K),22745,5711,4.47,4,19,2,TS,Sogala Sanjeev,RP(K),,SC,MALE,34,,19,2014,AE
1974607,None of The Above,NOTA,22714,1616,1.27,5,19,2,TS,None of The Above,NOTA,,,,,,19,2014,AE
1974608,Thungapindi Ramesh,BSP,22712,1607,1.26,6,19,2,TS,Thungapindi Ramesh,BSP,,SC,MALE,34,,19,2014,AE
1974609,Seggam Rajeshwar,IND,22713,1415,1.11,7,19,2,TS,Seggam Rajeshwar,IND,,SC,MALE,44,,19,2014,AE
1974610,Medapaka Sathish,IND,22713,1069,0.84,8,19,2,TS,Medapaka Sathish,IND,,SC,MALE,29,,19,2014,AE
1974611,Thogari Banesh,IND,22713,1064,0.83,9,19,2,TS,Thogari Banesh,IND,,SC,MALE,39,,19,2014,AE
1974612,Mekala Prameela,YSRCP,22738,843,0.66,10,19,2,TS,Mekala Prameela,YSRCP,,SC,FEMALE,47,,19,2014,AE
1974613,Andugula Srinivas,IND,22713,571,0.45,11,19,2,TS,Andugula Srinivas,IND,,SC,MALE,42,,19,2014,AE
1974614,Moyya Rambabu,IND,22713,568,0.44,12,19,2,TS,Moyya Rambabu,IND,,SC,MALE,45,,19,2014,AE
1974615,Rodda Mohan,AAAP,22754,536,0.42,13,19,2,TS,Rodda Mohan,AAAP,,SC,MALE,33,,19,2014,AE
1974616,Elpula Srinivas,RLD,22755,500,0.39,14,19,2,TS,Elpula Srinivas,RLD,,SC,MALE,37,,19,2014,AE
1974617,Ramagiri Vikram Singh,NIP,22734,404,0.32,15,19,2,TS,Ramagiri Vikram Singh,NIP,,SC,MALE,27,,19,2014,AE
1974618,Birudula Pradeep,IND,22713,368,0.29,16,19,2,TS,Birudula Pradeep,IND,,SC,MALE,29,,19,2014,AE
1974619,Durgam Chinnaiah,TRS,22709,73779,61.76,1,19,3,TS,Durgam Chinnaiah,TRS,,SC,MALE,43,,19,2014,AE
1974620,Gunda Mallesh,CPI,22756,21251,17.79,2,19,3,TS,Gunda Mallesh,CPI,,SC,MALE,67,,19,2014,AE
1974621,Pati Subhadra,TDP,22723,9167,7.67,3,19,3,TS,Pati Subhadra,TDP,,SC,FEMALE,59,,19,2014,AE
1974622,Badikela Sampath Kumar,IND,22713,2648,2.22,4,19,3,TS,Badikela Sampath Kumar,IND,,SC,MALE,51,,19,2014,AE
1974623,Jadi Shankaraiah,IND,22713,1940,1.62,5,19,3,TS,Jadi Shankaraiah,IND,,SC,MALE,41,,19,2014,AE
1974624,Sabbani Krishna,MCPI,22742,1390,1.16,6,19,3,TS,Sabbani Krishna,MCPI,,SC,MALE,51,,19,2014,AE
1974625,Erukala Raj Kiran,YSRCP,22738,1377,1.15,7,19,3,TS,Erukala Raj Kiran,YSRCP,,SC,MALE,35,,19,2014,AE
1974626,Chilumula Shankar,IND,22713,1257,1.05,8,19,3,TS,Chilumula Shankar,IND,,SC,MALE,49,,19,2014,AE
1974627,None of The Above,NOTA,22714,781,0.65,9,19,3,TS,None of The Above,NOTA,,,,,,19,2014,AE
1974628,Dandu Ravinder,LSP,22759,631,0.53,10,19,3,TS,Dandu Ravinder,LSP,,SC,MALE,45,,19,2014,AE
1974629,Maddala Srinivas,IND,22713,618,0.52,11,19,3,TS,Maddala Srinivas,IND,,SC,MALE,33,,19,2014,AE
1974630,Gaddala Hymavathi,IND,22713,545,0.46,12,19,3,TS,Gaddala Hymavathi,IND,,SC,FEMALE,32,,19,2014,AE
1974631,Mekala Venkatesham,IND,22713,518,0.43,13,19,3,TS,Mekala Venkatesham,IND,,SC,MALE,44,,19,2014,AE
1974632,Neerla Padma,IND,22713,517,0.43,14,19,3,TS,Neerla Padma,IND,,SC,FEMALE,34,,19,2014,AE
1974633,Dubasi Prabhakar,IND,22713,516,0.43,15,19,3,TS,Dubasi Prabhakar,IND,,SC,MALE,29,,19,2014,AE
1974634,Ambala Mahendar,IND,22713,503,0.42,16,19,3,TS,Ambala Mahendar,IND,,SC,MALE,43,,19,2014,AE
1974635,Gandham Shankar,IND,22713,436,0.36,17,19,3,TS,Gandham Shankar,IND,,SC,MALE,48,,19,2014,AE
1974636,Bandari Srinivas,AAAP,22754,385,0.32,18,19,3,TS,Bandari Srinivas,AAAP,,SC,MALE,27,,19,2014,AE
1974637,Bathula Madhu,AIFB,22732,366,0.31,19,19,3,TS,Bathula Madhu,AIFB,,SC,MALE,35,,19,2014,AE
1974638,Moguram Kannaiah,IND,22713,359,0.3,20,19,3,TS,Moguram Kannaiah,IND,,SC,MALE,42,,19,2014,AE
1974639,Rajalingu Chippakurthi,IND,22713,320,0.27,21,19,3,TS,Rajalingu Chippakurthi,IND,,SC,MALE,28,,19,2014,AE
1974640,Rathnam Srikanth,IND,22713,150,0.13,22,19,3,TS,Rathnam Srikanth,IND,,SC,MALE,27,,19,2014,AE
1974641,Diwakar Rao Nadipelli,TRS,22709,95171,61.62,1,19,4,TS,Diwakar Rao Nadipelli,TRS,,GEN,MALE,61,,19,2014,AE
1974642,Gaddam Aravinda Reddy,INC,22710,35921,23.26,2,19,4,TS,Gaddam Aravinda Reddy,INC,,GEN,MALE,57,,19,2014,AE
1974643,Mulkala Mallareddy,BJP,22711,11584,7.5,3,19,4,TS,Mulkala Mallareddy,BJP,,GEN,MALE,46,,19,2014,AE
1974644,Azmeera Lalkumar,IND,22713,5110,3.31,4,19,4,TS,Azmeera Lalkumar,IND,,ST,MALE,36,,19,2014,AE
1974645,None of The Above,NOTA,22714,1482,0.96,5,19,4,TS,None of The Above,NOTA,,,,,,19,2014,AE
1974646,Mittapalli Kiran Kumar,PJDL,22763,1206,0.78,6,19,4,TS,Mittapalli Kiran Kumar,PJDL,,SC,MALE,28,,19,2014,AE
1974647,Vemula Kiran,BSP,22712,970,0.63,7,19,4,TS,Vemula Kiran,BSP,,GEN,MALE,30,,19,2014,AE
1974648,Syed Afzaluddin,YSRCP,22738,813,0.53,8,19,4,TS,Syed Afzaluddin,YSRCP,,GEN,MALE,37,,19,2014,AE
1974649,Bakam Mallesh,IND,22713,482,0.31,9,19,4,TS,Bakam Mallesh,IND,,GEN,MALE,34,,19,2014,AE
1974650,Nainala Venkateshwarlu,IND,22713,359,0.23,10,19,4,TS,Nainala Venkateshwarlu,IND,,GEN,MALE,41,,19,2014,AE
1974651,Md.Chand Pasha,IND,22713,354,0.23,11,19,4,TS,Md.Chand Pasha,IND,,GEN,MALE,46,,19,2014,AE
1974652,Ravikanti Dasharatham,IND,22713,345,0.22,12,19,4,TS,Ravikanti Dasharatham,IND,,GEN,MALE,56,,19,2014,AE
1974653,Shaik Mohamed,IND,22713,336,0.22,13,19,4,TS,Shaik Mohamed,IND,,GEN,MALE,46,,19,2014,AE
1974654,Rangu Mallesham,AIFB,22732,320,0.21,14,19,4,TS,Rangu Mallesham,AIFB,,GEN,MALE,44,,19,2014,AE
1974655,Kova Laxmi,TRS,22709,59094,40.35,1,19,5,TS,Kova Laxmi,TRS,,ST,FEMALE,45,,19,2014,AE
1974656,Atram Sakku,INC,22710,40039,27.34,2,19,5,TS,Atram Sakku,INC,,ST,MALE,42,,19,2014,AE
1974657,Marsukola Sarswathi,TDP,22723,25439,17.37,3,19,5,TS,Marsukola Sarswathi,TDP,,ST,FEMALE,42,,19,2014,AE
1974658,Kotnaka Vijay Kumar,MASP,22736,7735,5.28,4,19,5,TS,Kotnaka Vijay Kumar,MASP,,ST,MALE,44,,19,2014,AE
1974659,Ade Leelarani,IND,22713,4592,3.14,5,19,5,TS,Ade Leelarani,IND,,ST,FEMALE,47,,19,2014,AE
1974660,Kanaka Rambabai,BSP,22712,4022,2.75,6,19,5,TS,Kanaka Rambabai,BSP,,ST,FEMALE,56,,19,2014,AE
1974661,None of The Above,NOTA,22714,2833,1.93,7,19,5,TS,None of The Above,NOTA,,,,,,19,2014,AE
1974662,Pendram Gopi,IND,22713,1370,0.94,8,19,5,TS,Pendram Gopi,IND,,ST,MALE,48,,19,2014,AE
1974663,Sidam Arju,GGP,22733,1314,0.9,9,19,5,TS,Sidam Arju,GGP,,ST,MALE,62,,19,2014,AE
1974664,Ajmeera Rekha,TRS,22709,67442,49.33,1,19,6,TS,Ajmeera Rekha,TRS,,ST,FEMALE,39,,19,2014,AE
1974665,Rathod Ritesh,TDP,22723,28931,21.16,2,19,6,TS,Rathod Ritesh,TDP,,ST,MALE,29,,19,2014,AE
1974666,Ajmeera Hari Naik,INC,22710,26087,19.08,3,19,6,TS,Ajmeera Hari Naik,INC,,ST,MALE,45,,19,2014,AE
1974667,Jadhav Bhojya Naik,IND,22713,5692,4.16,4,19,6,TS,Jadhav Bhojya Naik,IND,,ST,MALE,51,,19,2014,AE
1974668,Mesram Anand Rao,IND,22713,5107,3.74,5,19,6,TS,Mesram Anand Rao,IND,,ST,MALE,32,,19,2014,AE
1974669,None of The Above,NOTA,22714,2427,1.78,6,19,6,TS,None of The Above,NOTA,,,,,,19,2014,AE
1974670,Banoth Bheelsingh Naik,RLD,22755,1031,0.75,7,19,6,TS,Banoth Bheelsingh Naik,RLD,,ST,MALE,34,,19,2014,AE
1974671,Jogu Ramanna,TRS,22709,58705,40.92,1,19,7,TS,Jogu Ramanna,TRS,,GEN,MALE,51,,19,2014,AE
