el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1969298,GODAM NAGESH,BJP,22711,71325,43.77861798897632,1,53,1,TS,GODAM NAGESH,BJP,,ST,MALE,59,,53,2024,GE
1969299,ATHRAM SUGUNA,INC,22710,62956,38.641804053473436,2,53,1,TS,ATHRAM SUGUNA,INC,,ST,FEMALE,49,,53,2024,GE
1969300,ATHRAM SAKKU,BHRS,22724,19840,12.177606461987946,3,53,1,TS,ATHRAM SAKKU,BHRS,,ST,MALE,51,,53,2024,GE
1969301,NONE OF THE ABOVE,NOTA,22714,2017,1.238015737592222,4,53,1,TS,NONE OF THE ABOVE,NOTA,,,,,,53,2024,GE
1969302,MALOTHU SYAMLAL NAYAK,AODRP,22725,1358,0.8335277003719572,5,53,1,TS,MALOTHU SYAMLAL NAYAK,AODRP,,ST,MALE,35,,53,2024,GE
1969303,BUKYA JAIVANTH RAO,IND,22713,1181,0.7248867556253913,6,53,1,TS,BUKYA JAIVANTH RAO,IND,,ST,MALE,36,,53,2024,GE
1969305,RATHOD SUBASH,IND,22713,1059,0.6500042965345381,7,53,1,TS,RATHOD SUBASH,IND,,ST,MALE,40,,53,2024,GE
1969304,MESRAM JANGUBAPU,BSP,22712,1059,0.6500042965345381,7,53,1,TS,MESRAM JANGUBAPU,BSP,,ST,MALE,34,,53,2024,GE
1969306,CHAVAN SUDHARSHAN,AYSRCP,22726,756,0.4640257301039762,9,53,1,TS,CHAVAN SUDHARSHAN,AYSRCP,,ST,MALE,45,,53,2024,GE
1969307,GANGADEVI MESRAM,DHRMSMJP,22727,459,0.2817299075631284,10,53,1,TS,GANGADEVI MESRAM,DHRMSMJP,,ST,FEMALE,43,,53,2024,GE
1969308,N. TIRUPATI,VTRP,22728,384,0.2356956089417022,11,53,1,TS,N. TIRUPATI,VTRP,,ST,MALE,35,,53,2024,GE
1969309,KODAPA VAMAN RAO,GNDWDKP,22729,265,0.16265452179570591,12,53,1,TS,KODAPA VAMAN RAO,GNDWDKP,,ST,MALE,40,,53,2024,GE
1969310,GEDAM. SAGAR,IPBP,22730,263,0.16142694049913456,13,53,1,TS,GEDAM. SAGAR,IPBP,,ST,MALE,35,,53,2024,GE
1969311,VAMSI KRISHNA GADDAM,INC,22710,59489,44.800319308366035,1,53,2,TS,VAMSI KRISHNA GADDAM,INC,,SC,MALE,35,,53,2024,GE
1969312,SRINIVAS GOMASE,BJP,22711,33775,25.43547184588853,2,53,2,TS,SRINIVAS GOMASE,BJP,,SC,MALE,56,,53,2024,GE
1969313,ESHWAR KOPPULA,BHRS,22724,26743,20.139772718714934,3,53,2,TS,ESHWAR KOPPULA,BHRS,,SC,MALE,64,,53,2024,GE
1969314,NONE OF THE ABOVE,NOTA,22714,888,0.6687401628171432,4,53,2,TS,NONE OF THE ABOVE,NOTA,,,,,,53,2024,GE
1969315,MOTHE NARESH,PPID,22746,824,0.6205426736050969,5,53,2,TS,MOTHE NARESH,PPID,,SC,MALE,32,,53,2024,GE
1969316,ERUKULLA RAJANARSAIAH,BSP,22712,790,0.5949377574611973,6,53,2,TS,ERUKULLA RAJANARSAIAH,BSP,,SC,MALE,62,,53,2024,GE
1969317,MOYYI VENUGOPAL,BMUP,22717,775,0.5836414709271239,7,53,2,TS,MOYYI VENUGOPAL,BMUP,,SC,MALE,54,,53,2024,GE
1969318,RAMESH MANDA,DHRMSMJP,22727,688,0.5181230090294984,8,53,2,TS,RAMESH MANDA,DHRMSMJP,,SC,MALE,40,,53,2024,GE
1969319,DURGAM RAMULU,IND,22713,679,0.5113452371090543,9,53,2,TS,DURGAM RAMULU,IND,,SC,MALE,43,,53,2024,GE
1969320,A SUMALATHA,AODRP,22725,617,0.46465391943488443,10,53,2,TS,A SUMALATHA,AODRP,,SC,FEMALE,39,,53,2024,GE
1969321,RAMCHANDAR NICHAKOLA,DABAP,22747,436,0.3283453952570658,11,53,2,TS,RAMCHANDAR NICHAKOLA,DABAP,,SC,MALE,47,,53,2024,GE
1969322,RAMULA KARTHIK,IND,22713,398,0.2997281360374133,12,53,2,TS,RAMULA KARTHIK,IND,,SC,MALE,28,,53,2024,GE
