el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1962161,Lakhapat Singh Butola,INC,16058,28161,51.93073689,1,52,4,UK,,,,,,,,52,2024,AE-BP
1962162,Rajendra Singh Bhandari,BJP,16057,22937,42.29733717,2,52,4,UK,,,,,,,,52,2024,AE-BP
1962163,Naval Kishor Khali,IND,16059,1813,3.343291289,3,52,4,UK,,,,,,,,52,2024,AE-BP
1962164,None Of The Above,NOTA,16161,823,1.51766615,4,52,4,UK,,,,,,,,52,2024,AE-BP
1962165,Himmat Singh Negi,SaSP,16097,494,0.9109685034,5,52,4,UK,,,,,,,,52,2024,AE-BP
1962178,ASHA NAUTIYAL,BJP,16057,23814,43.7427674,1,52,7,UK,,,,,,,,52,2024,AE-BP
1962179,MANOJ RAWAT,INC,16058,18192,33.41599162,2,52,7,UK,,,,,,,,52,2024,AE-BP
1962180,TRIBHUWAN SINGH,IND,16059,9311,17.10291876,3,52,7,UK,,,,,,,,52,2024,AE-BP
1962181,DR. ASHUTOSH BHANDARI,UKKD,16063,1314,2.413622086,4,52,7,UK,,,,,,,,52,2024,AE-BP
1962182,None Of The Above,NOTA,16161,834,1.531933653,5,52,7,UK,,,,,,,,52,2024,AE-BP
1962183,EX. ASST. COMDT. R. P. SINGH,IND,16059,493,0.9055674951,6,52,7,UK,,,,,,,,52,2024,AE-BP
1962184,PRADEEP ROSHAN RUDIYA,PPID,16092,483,0.8871989861,7,52,7,UK,,,,,,,,52,2024,AE-BP
1962166,Qazi Mohammad Nizamuddin,INC,16058,31727,37.90606817,1,52,33,UK,,,,,,,,52,2024,AE-BP
1962167,Kartar Singh Bhadana,BJP,16057,31305,37.40188055,2,52,33,UK,,,,,,,,52,2024,AE-BP
1962168,Ubaidur Rahaman (Monty),BSP,16062,19559,23.36826007,3,52,33,UK,,,,,,,,52,2024,AE-BP
1962169,Vijay Kumar Kashyap,IND,16059,351,0.419359849,4,52,33,UK,,,,,,,,52,2024,AE-BP
1962170,Deepak Kumar,IND,16059,314,0.375153825,5,52,33,UK,,,,,,,,52,2024,AE-BP
1962171,None Of The Above,NOTA,16161,237,0.2831575049,6,52,33,UK,,,,,,,,52,2024,AE-BP
1962172,Sadia Zaidi,IND,16059,206,0.2461200253,7,52,33,UK,,,,,,,,52,2024,AE-BP
