el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1486873,Malchand,BJP,16057,18098,39.7469966837238,1,13,1,UK,Malchand,BJP,,,,,False,13,2012,AE
1486874,Rajkumar,IND,16059,14266,31.331122482595,2,13,1,UK,Rajkumar,IND,,,,,False,13,2012,AE
1486875,Rajesh Juwantha,INC,16058,10804,23.7278457382557,3,13,1,UK,Rajesh Juwantha,INC,,,,,False,13,2012,AE
1486876,Kishan Lal,BSP,16062,1659,3.64351129949706,4,13,1,UK,Kishan Lal,BSP,,,,,False,13,2012,AE
1486877,Prakash Devnata,UtPP,16064,706,1.55052379592822,5,13,1,UK,Prakash Devnata,UtPP,,,,,False,13,2012,AE
1486941,Pritam Singh Panwar,UKDP,16080,15909,36.2094865258557,1,13,2,UK,Pritam Singh Panwar,UKDP,,,,,False,13,2012,AE
1486942,Kedar Singh Rawat,INC,16058,13313,30.3008922068463,2,13,2,UK,Kedar Singh Rawat,INC,,,,,False,13,2012,AE
1486943,Jagveer Singh,BJP,16057,11961,27.2236890021849,3,13,2,UK,Jagveer Singh,BJP,,,,,False,13,2012,AE
1486944,Mahaveer Singh,IND,16059,1058,2.40804806991988,4,13,2,UK,Mahaveer Singh,IND,,,,,False,13,2012,AE
1486945,Vijendra Prasad,BSP,16062,867,1.97332483612527,5,13,2,UK,Vijendra Prasad,BSP,,,,,False,13,2012,AE
1486946,Jeet Singh Bhadkoti,JD(U),16081,454,1.03332119446467,6,13,2,UK,Jeet Singh Bhadkoti,JD(U),,,,,False,13,2012,AE
1486947,Murari Lal,UtRM,16082,374,0.851238164603058,7,13,2,UK,Murari Lal,UtRM,,,,,False,13,2012,AE
1487017,Vijaipal Singh Sajwan,INC,16058,20246,40.1340046782698,1,13,3,UK,Vijaipal Singh Sajwan,INC,,,,,False,13,2012,AE
1487018,Gopal Singh Rawat,BJP,16057,13223,26.2121872893787,2,13,3,UK,Gopal Singh Rawat,BJP,,,,,False,13,2012,AE
1487019,Suresh Singh,IND,16059,6436,12.7581968837965,3,13,3,UK,Suresh Singh,IND,,,,,False,13,2012,AE
1487020,Kishan Singh,IND,16059,5595,11.0910676763271,4,13,3,UK,Kishan Singh,IND,,,,,False,13,2012,AE
1487021,Hari Shankar,IND,16059,1417,2.80894421757919,5,13,3,UK,Hari Shankar,IND,,,,,False,13,2012,AE
1487022,Dinesh Nautiyal,CPI,16084,1356,2.6880228363002,6,13,3,UK,Dinesh Nautiyal,CPI,,,,,False,13,2012,AE
1487023,Hukam Singh,BSP,16062,1080,2.14090314395591,7,13,3,UK,Hukam Singh,BSP,,,,,False,13,2012,AE
1487024,Bhagwati Prasad Bahuguna,UKDP,16080,584,1.1576735519169,8,13,3,UK,Bhagwati Prasad Bahuguna,UKDP,,,,,False,13,2012,AE
1487025,Ravindra,UPP,16166,287,0.568925187329025,9,13,3,UK,Ravindra,UPP,,,,,False,13,2012,AE
1487026,Narayani,LJP,16070,222,0.440074535146493,10,13,3,UK,Narayani,LJP,,,,,False,13,2012,AE
1487081,Rajendra Singh Bhandri,INC,16058,21492,39.0806269774884,1,13,4,UK,Rajendra Singh Bhandri,INC,,,,,False,13,2012,AE
1487082,Prem Ballabh Bhatt,BJP,16057,11291,20.5313306906207,2,13,4,UK,Prem Ballabh Bhatt,BJP,,,,,False,13,2012,AE
1487083,Kedar Singh Fonia,UtRM,16082,7511,13.6578535840273,3,13,4,UK,Kedar Singh Fonia,UtRM,,,,,False,13,2012,AE
1487084,Nandan Singh Bisht,IND,16059,5803,10.5520602247517,4,13,4,UK,Nandan Singh Bisht,IND,,,,,False,13,2012,AE
1487085,Anand Singh,CPI,16084,4681,8.51183765501691,5,13,4,UK,Anand Singh,CPI,,,,,False,13,2012,AE
1487086,Sabar Singh,BSP,16062,1671,3.03851329235916,6,13,4,UK,Sabar Singh,BSP,,,,,False,13,2012,AE
1487087,Pankaj Vyas,IND,16059,1267,2.30388769683965,7,13,4,UK,Pankaj Vyas,IND,,,,,False,13,2012,AE
1487088,Mohan Lal Bharti,LJP,16070,699,1.2710477506637,8,13,4,UK,Mohan Lal Bharti,LJP,,,,,False,13,2012,AE
1487089,Alok Meherwal,SP,16079,579,1.05284212823217,9,13,4,UK,Alok Meherwal,SP,,,,,False,13,2012,AE
1487146,Dr Jeet Ram,INC,16058,17404,32.8625377643504,1,13,5,UK,Dr Jeet Ram,INC,,,,,False,13,2012,AE
1487147,Magan Lal,BJP,16057,16731,31.5917673716012,2,13,5,UK,Magan Lal,BJP,,,,,False,13,2012,AE
1487148,Rajpal Kanyal,CPM,16060,4256,8.03625377643504,3,13,5,UK,Rajpal Kanyal,CPM,,,,,False,13,2012,AE
1487149,Sundra Lal,IND,16059,3473,6.55777945619335,4,13,5,UK,Sundra Lal,IND,,,,,False,13,2012,AE
1487150,Mahes Shankar,IND,16059,3151,5.94977341389728,5,13,5,UK,Mahes Shankar,IND,,,,,False,13,2012,AE
1487151,Govind Lal Shah,IND,16059,2027,3.827416918429,6,13,5,UK,Govind Lal Shah,IND,,,,,False,13,2012,AE
1487152,Radhaballbh,IND,16059,1723,3.25339879154078,7,13,5,UK,Radhaballbh,IND,,,,,False,13,2012,AE
1487153,Narendra Kumar,BSP,16062,1060,2.00151057401812,8,13,5,UK,Narendra Kumar,BSP,,,,,False,13,2012,AE
1487154,Manjeet Ram,NCP,16093,630,1.18957703927492,9,13,5,UK,Manjeet Ram,NCP,,,,,False,13,2012,AE
1487155,Rakesh Lal Khanada,UKDP,16080,598,1.12915407854984,10,13,5,UK,Rakesh Lal Khanada,UKDP,,,,,False,13,2012,AE
1487156,Vinod Kumar,LJP,16070,566,1.06873111782477,11,13,5,UK,Vinod Kumar,LJP,,,,,False,13,2012,AE
1487157,Balak Ram,IND,16059,485,0.915785498489425,12,13,5,UK,Balak Ram,IND,,,,,False,13,2012,AE
1487158,Bali Ram,JD(U),16081,459,0.866691842900302,13,13,5,UK,Bali Ram,JD(U),,,,,False,13,2012,AE
