el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1486856,Mala Rajya Laxmi Shah,BJP,16057,20888,55.1236376111682,1,21,1,UK,Mala Rajya Laxmi Shah,BJP,,,,,False,21,2014,GE
1486857,Saket Bahuguna,INC,16058,13342,35.2096693320666,2,21,1,UK,Saket Bahuguna,INC,,,,,True,21,2014,GE
1486858,Anoop Nautiyal,AAAP,16072,887,2.34080173119045,3,21,1,UK,Anoop Nautiyal,AAAP,,,,,False,21,2014,GE
1486859,None Of The Above,NOTA,16061,522,1.3775631383105,4,21,1,UK,None Of The Above,NOTA,,,,,False,21,2014,GE
1486860,Shiv Prasad Deoli,CPM,16060,499,1.31686591190985,5,21,1,UK,Shiv Prasad Deoli,CPM,,,,,False,21,2014,GE
1486861,Shishpal Singh,BSP,16062,472,1.24561264613517,6,21,1,UK,Shishpal Singh,BSP,,,,,False,21,2014,GE
1486862,Sohan Pal Singh,IND,16059,366,0.965877602723458,7,21,1,UK,Sohan Pal Singh,IND,,,,,False,21,2014,GE
1486863,Prem Singh Yadav,IND,16059,161,0.424880584804581,8,21,1,UK,Prem Singh Yadav,IND,,,,,False,21,2014,GE
1486865,Raju Maurya,IND,16059,109,0.287652072942232,9,21,1,UK,Raju Maurya,IND,,,,,False,21,2014,GE
1486864,Barhm Dev Jha,IND,16059,109,0.287652072942232,9,21,1,UK,Barhm Dev Jha,IND,,,,,False,21,2014,GE
1486866,Jai Prakash Upadhyay,IND,16059,107,0.282374053255218,11,21,1,UK,Jai Prakash Upadhyay,IND,,,,,False,21,2014,GE
1486867,Gaurav Pundir,IND,16059,94,0.248066925289631,12,21,1,UK,Gaurav Pundir,IND,,,,,False,21,2014,GE
1486868,Japinder Singh,RLD,16073,93,0.245427915446124,13,21,1,UK,Japinder Singh,RLD,,,,,False,21,2014,GE
1486869,Navneet Singh Gosain,raup,16074,74,0.195286728419497,14,21,1,UK,Navneet Singh Gosain,raup,,,,,False,21,2014,GE
1486870,Satendra Sharma,NADP,16075,62,0.163618610297416,15,21,1,UK,Satendra Sharma,NADP,,,,,False,21,2014,GE
