el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1952147,Madan Bhaiya,RLD,22971,97139,0.540417695885351,1,46,15,UP,,,,,,,,46,2022,AE-BP
1952148,Rajkumari,BJP,22953,74996,0.417228564434653,2,46,15,UP,,,,,,,,46,2022,AE-BP
1952149,Ramesh,BGDRPP,23492,1849,0.0102866234951154,3,46,15,UP,,,,,,,,46,2022,AE-BP
1952150,Pramod Arya,IND,22955,1803,0.25,4,46,15,UP,,,,,,,,46,2022,AE-BP
1952151,Nota,NOTA,27023,834,0.37,5,46,15,UP,,,,,,,,46,2022,AE-BP
1952152,Santosh,IND,22955,713,0.00396666444132897,6,46,15,UP,,,,,,,,46,2022,AE-BP
1952153,Nirmal Pratap Singh,IND,22955,523,0.00290962903620624,7,46,15,UP,,,,,,,,46,2022,AE-BP
1952154,Sanjeev Kumar,IND,22955,484,0.00269265861094421,8,46,15,UP,,,,,,,,46,2022,AE-BP
1952155,Yashpal Singh,MKUP,23024,478,0.00265927854551928,9,46,15,UP,,,,,,,,46,2022,AE-BP
1952156,Sudesh,IND,22955,240,0.00133520261699713,10,46,15,UP,,,,,,,,46,2022,AE-BP
1952157,Mohd. Yousuf,IND,22955,164,0.000912388454948038,11,46,15,UP,,,,,,,,46,2022,AE-BP
1952158,Vakar Azhar,IND,22955,147,0.000817811602910742,12,46,15,UP,,,,,,,,46,2022,AE-BP
1952159,Sureshvati,IND,22955,146,0.000812248258673254,13,46,15,UP,,,,,,,,46,2022,AE-BP
1952160,Yajpal Singh Rathi,IND,22955,123,0.27,14,46,15,UP,,,,,,,,46,2022,AE-BP
1952161,Pradeep Kumar,IND,22955,109,0.000606404521886196,15,46,15,UP,,,,,,,,46,2022,AE-BP
