el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1784944,Umar Ali Khan,SP,22952,134513,47.8059373145255,1,45,1,UP,Umar Ali Khan,SP,,,,,False,45,2022,AE
1784945,Naresh Saini,BJP,22953,96633,34.3433804949302,2,45,1,UP,Naresh Saini,BJP,,,,,False,45,2022,AE
1784946,Rais Malik,BSP,22951,45075,16.0196607350385,3,45,1,UP,Rais Malik,BSP,,,,,False,45,2022,AE
1784947,Poonam Kamboj,INC,22954,1632,0.580013007644656,4,45,1,UP,Poonam Kamboj,INC,,,,,False,45,2022,AE
1784948,Sushil Kumar,AAAP,22962,1162,0.412974947845031,5,45,1,UP,Sushil Kumar,AAAP,,,,,False,45,2022,AE
1784949,Nota,NOTA,22960,1117,0.396981942119535,6,45,1,UP,Nota,NOTA,,,,,False,45,2022,AE
1784950,Dharampal Singh,IND,22955,560,0.199024071250617,7,45,1,UP,Dharampal Singh,IND,,,,,False,45,2022,AE
1784951,Ali Khan,IND,22955,409,0.145358652038397,8,45,1,UP,Ali Khan,IND,,,,,False,45,2022,AE
1784952,Mo. Ikram,IND,22955,272,0.0966688346074427,9,45,1,UP,Mo. Ikram,IND,,,,,False,45,2022,AE
1785037,Mukesh Choudhary,BJP,22953,104114,38.4678480114686,1,45,2,UP,Mukesh Choudhary,BJP,,,,,False,45,2022,AE
1785038,Dr. Dharam Singh Saini,SP,22952,103799,38.3514623945139,2,45,2,UP,Dr. Dharam Singh Saini,SP,,,,,False,45,2022,AE
1785039,Sahil Khan,BSP,22951,55112,20.3626797511195,3,45,2,UP,Sahil Khan,BSP,,,,,False,45,2022,AE
1785040,Rizwana,AIMIM,22999,3593,1.32753498958071,4,45,2,UP,Rizwana,AIMIM,,,,,False,45,2022,AE
1785041,Randheer Singh,INC,22954,1354,0.500273413830306,5,45,2,UP,Randheer Singh,INC,,,,,False,45,2022,AE
1785042,Nota,NOTA,22960,710,0.262329485834207,6,45,2,UP,Nota,NOTA,,,,,False,45,2022,AE
1785043,Sonu Kumar,ASPKR,23000,616,0.227598539822354,7,45,2,UP,Sonu Kumar,ASPKR,,,,,False,45,2022,AE
1785044,Atul Kumar,IVD,22969,420,0.16,8,45,2,UP,Atul Kumar,IVD,,,,,False,45,2022,AE
1785045,Nitin Kumar,JMBP,23001,267,0.1,9,45,2,UP,Nitin Kumar,JMBP,,,,,False,45,2022,AE
