el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1784933,Imran Masood,INC,22954,133394,49.5509015400845,1,53,1,UP,Imran Masood,INC,,,,,False,53,2024,GE
1784934,Raghav Lakhanpal,BJP,22953,95165,35.3502522232045,2,53,1,UP,Raghav Lakhanpal,BJP,,,,,False,53,2024,GE
1784935,Majid Ali,BSP,22951,36045,13.3893746796133,3,53,1,UP,Majid Ali,BSP,,,,,True,53,2024,GE
1784936,Nota,NOTA,22960,1195,0.443897981471438,4,53,1,UP,Nota,NOTA,,,,,False,53,2024,GE
1784937,Mohd Inam,AKBRPRVP,22980,1173,0.435725801059411,5,53,1,UP,Mohd Inam,AKBRPRVP,,,,,False,53,2024,GE
1784938,Shabnam,IND,22955,694,0.257795145724835,6,53,1,UP,Shabnam,IND,,,,,False,53,2024,GE
1784939,Shahbaj,IND,22955,548,0.203561584808659,7,53,1,UP,Shahbaj,IND,,,,,False,53,2024,GE
1784940,Rashid Khan,IND,22955,328,0.121839780688394,8,53,1,UP,Rashid Khan,IND,,,,,False,53,2024,GE
1784941,Tasmeem Bano,IND,22955,238,0.0884081335482864,9,53,1,UP,Tasmeem Bano,IND,,,,,False,53,2024,GE
1784942,Kamran,IND,22955,223,0.0828361923582683,10,53,1,UP,Kamran,IND,,,,,False,53,2024,GE
1784943,Rajkumar,IND,22955,203,0.0754069374382443,11,53,1,UP,Rajkumar,IND,,,,,False,53,2024,GE
1785022,Iqra Choudhary,SP,22952,126320,49.7956062236623,1,53,2,UP,Iqra Choudhary,SP,,,,,False,53,2024,GE
1785023,Pradeep Kumar,BJP,22953,92529,36.4751238780023,2,53,2,UP,Pradeep Kumar,BJP,,,,,True,53,2024,GE
1785024,Sripal,BSP,22951,31016,12.2265715851259,3,53,2,UP,Sripal,BSP,,,,,False,53,2024,GE
1785025,Manoj Rana,IND,22955,764,0.301170385963252,4,53,2,UP,Manoj Rana,IND,,,,,False,53,2024,GE
1785026,Nota,NOTA,22960,662,0.260961774224703,5,53,2,UP,Nota,NOTA,,,,,False,53,2024,GE
1785027,Shokinder Kumar,IND,22955,539,0.212474918892922,6,53,2,UP,Shokinder Kumar,IND,,,,,False,53,2024,GE
1785028,Vikas Kumar,IND,22955,306,0.120625835215648,7,53,2,UP,Vikas Kumar,IND,,,,,False,53,2024,GE
1785029,Jahid,SDPI,22996,279,0.109982379167208,8,53,2,UP,Jahid,SDPI,,,,,False,53,2024,GE
1785030,Vikram Singh,IND,22955,258,0.101704135573977,9,53,2,UP,Vikram Singh,IND,,,,,False,53,2024,GE
1785031,Vikram Saini,ABSTP,22997,247,0.0973679127394284,10,53,2,UP,Vikram Saini,ABSTP,,,,,False,53,2024,GE
1785032,Ombeer,AAS,22998,246,0.0969737106635603,11,53,2,UP,Ombeer,AAS,,,,,False,53,2024,GE
1785033,Yogesh,IND,22955,148,0.0583419072284834,12,53,2,UP,Yogesh,IND,,,,,False,53,2024,GE
1785034,Priti Kashyap,RMEP,22990,136,0.0536114823180658,13,53,2,UP,Priti Kashyap,RMEP,,,,,False,53,2024,GE
