el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1952495,Dadhiram Ray,BJP,23707,119109,54.42,1,57,1,WB,Dadhiram Ray,BJP,,SC,MALE,43,,57,2026,AE
1952496,Adhikary Paresh Chandra,AITC,23705,89525,40.91,2,57,1,WB,Adhikary Paresh Chandra,AITC,,SC,MALE,74,,57,2026,AE
1952497,Kamal Kumar Roy,AIFB,23723,2386,1.09,3,57,1,WB,Kamal Kumar Roy,AIFB,,SC,MALE,61,,57,2026,AE
1952498,Nota,NOTA,23703,2126,0.97,4,57,1,WB,Nota,NOTA,,,,,,57,2026,AE
1952499,Hiten Barman,SUCI,23712,1392,0.64,5,57,1,WB,Hiten Barman,SUCI,,SC,MALE,57,,57,2026,AE
1952500,Ila Rani Roy,INC,23715,1288,0.59,6,57,1,WB,Ila Rani Roy,INC,,SC,FEMALE,55,,57,2026,AE
1952501,Hiranmay Deb Singha,IND,23709,979,0.45,7,57,1,WB,Hiranmay Deb Singha,IND,,SC,MALE,33,,57,2026,AE
1952502,Purnendu Roy,IND,23709,900,0.41,8,57,1,WB,Purnendu Roy,IND,,SC,MALE,48,,57,2026,AE
1952503,Golapi Roy,IND,23709,427,0.2,9,57,1,WB,Golapi Roy,IND,,SC,FEMALE,39,,57,2026,AE
1952504,Manoj Kumar Ray,IND,23709,278,0.13,10,57,1,WB,Manoj Kumar Ray,IND,,SC,MALE,35,,57,2026,AE
1952505,Krishna Barman,IND,23709,231,0.11,11,57,1,WB,Krishna Barman,IND,,SC,MALE,42,,57,2026,AE
1952506,Kirttiram Barman,IND,23709,218,0.1,12,57,1,WB,Kirttiram Barman,IND,,SC,MALE,33,,57,2026,AE
1952507,Nishith Pramanik,BJP,23707,143340,59.27,1,57,2,WB,Nishith Pramanik,BJP,,SC,MALE,40,,57,2026,AE
1952508,Dr. Sablu Barman,AITC,23705,86250,35.66,2,57,2,WB,Dr. Sablu Barman,AITC,,SC,MALE,42,,57,2026,AE
1952509,Khagen Chandra Barman,CPI(M),23730,4030,1.67,3,57,2,WB,Khagen Chandra Barman,CPI(M),,SC,MALE,62,,57,2026,AE
1952510,Dr. Harekrishna Sarkar,IND,23709,1168,0.48,4,57,2,WB,Dr. Harekrishna Sarkar,IND,,SC,MALE,54,,57,2026,AE
1952511,Kshitendra Nath Barman,INC,23715,1118,0.46,5,57,2,WB,Kshitendra Nath Barman,INC,,SC,MALE,69,,57,2026,AE
1952512,Mritunjoy Biswas,BSP,23704,1097,0.45,6,57,2,WB,Mritunjoy Biswas,BSP,,SC,MALE,36,,57,2026,AE
1952513,Nota,NOTA,23703,913,0.38,7,57,2,WB,Nota,NOTA,,,,,,57,2026,AE
1952514,Mihir Sarkar,IND,23709,883,0.37,8,57,2,WB,Mihir Sarkar,IND,,SC,MALE,45,,57,2026,AE
1952515,Premananda Barman,KPPU,23733,755,0.31,9,57,2,WB,Premananda Barman,KPPU,,SC,MALE,54,,57,2026,AE
1952516,Provakar Roy,IND,23709,684,0.28,10,57,2,WB,Provakar Roy,IND,,SC,MALE,29,,57,2026,AE
1952517,Haradhan Roy,IND,23709,465,0.19,11,57,2,WB,Haradhan Roy,IND,,SC,MALE,39,,57,2026,AE
1952518,Bikash Barman,SUCI,23712,337,0.14,12,57,2,WB,Bikash Barman,SUCI,,SC,MALE,40,,57,2026,AE
1952519,Kangsa Raj Barman,IND,23709,325,0.13,13,57,2,WB,Kangsa Raj Barman,IND,,SC,MALE,56,,57,2026,AE
1952520,Goutam Barman,IND,23709,288,0.12,14,57,2,WB,Goutam Barman,IND,,SC,MALE,39,,57,2026,AE
1952521,Subodh Barman,AMB,24666,192,0.08,15,57,2,WB,Subodh Barman,AMB,,SC,MALE,69,,57,2026,AE
1952522,Sukumar Ray,BJP,23707,155327,61.11,1,57,3,WB,Sukumar Ray,BJP,,SC,MALE,57,,57,2026,AE
1952523,Partha Pratim Ray,AITC,23705,84943,33.42,2,57,3,WB,Partha Pratim Ray,AITC,,SC,MALE,44,,57,2026,AE
1952524,Pranay Karjee,CPI(M),23730,5293,2.08,3,57,3,WB,Pranay Karjee,CPI(M),,SC,MALE,31,,57,2026,AE
1952525,Partha Pratim Ishor,INC,23715,1939,0.76,4,57,3,WB,Partha Pratim Ishor,INC,,SC,MALE,59,,57,2026,AE
1952526,Nota,NOTA,23703,1819,0.72,5,57,3,WB,Nota,NOTA,,,,,,57,2026,AE
1952527,Panchanan Roy,IND,23709,961,0.38,6,57,3,WB,Panchanan Roy,IND,,SC,MALE,69,,57,2026,AE
1952528,Sukumar Roy,IND,23709,895,0.35,7,57,3,WB,Sukumar Roy,IND,,SC,MALE,43,,57,2026,AE
1952529,Upendra Nath Basunia,AMB,24666,874,0.34,8,57,3,WB,Upendra Nath Basunia,AMB,,SC,MALE,67,,57,2026,AE
1952530,Sukumar Roy,IND,23709,805,0.32,9,57,3,WB,Sukumar Roy,IND,,SC,MALE,42,,57,2026,AE
1952531,Naresh Chandra Roy,IND,23709,403,0.16,10,57,3,WB,Naresh Chandra Roy,IND,,SC,MALE,53,,57,2026,AE
1952532,Swapan Kumar Barman,SUCI,23712,388,0.15,11,57,3,WB,Swapan Kumar Barman,SUCI,,SC,MALE,46,,57,2026,AE
1952533,Uttam Barman,IND,23709,307,0.12,12,57,3,WB,Uttam Barman,IND,,SC,MALE,37,,57,2026,AE
1952534,Nirmal Kumar Roy,KPPU,23733,221,0.09,13,57,3,WB,Nirmal Kumar Roy,KPPU,,SC,MALE,71,,57,2026,AE
1952535,Rathindra Bose,BJP,23707,108482,52.81,1,57,4,WB,Rathindra Bose,BJP,,GENERAL,MALE,65,,57,2026,AE
1952536,Avijit De Bhowmik,AITC,23705,85198,41.48,2,57,4,WB,Avijit De Bhowmik,AITC,,GENERAL,MALE,51,,57,2026,AE
1952537,Nazmul Alom Sarkar,AIFB,23723,3137,1.53,3,57,4,WB,Nazmul Alom Sarkar,AIFB,,GENERAL,MALE,41,,57,2026,AE
1952538,Khokan Miah,INC,23715,2971,1.45,4,57,4,WB,Khokan Miah,INC,,GENERAL,MALE,52,,57,2026,AE
1952539,Nota,NOTA,23703,1770,0.86,5,57,4,WB,Nota,NOTA,,,,,,57,2026,AE
1952540,Surath Kumar Hom Roy,IND,23709,575,0.28,6,57,4,WB,Surath Kumar Hom Roy,IND,,GENERAL,MALE,42,,57,2026,AE
1952541,Bhaskar Jyoti Dutta,BSP,23704,561,0.27,7,57,4,WB,Bhaskar Jyoti Dutta,BSP,,GENERAL,MALE,51,,57,2026,AE
1952542,Ranjit Sarkar,IND,23709,502,0.24,8,57,4,WB,Ranjit Sarkar,IND,,GENERAL,MALE,36,,57,2026,AE
1952543,Bidhan Barma,KPPU,23733,471,0.23,9,57,4,WB,Bidhan Barma,KPPU,,SC,MALE,45,,57,2026,AE
1952544,Suman Pandit,SUCI,23712,400,0.19,10,57,4,WB,Suman Pandit,SUCI,,GENERAL,MALE,47,,57,2026,AE
1952545,Santosh Barman,IND,23709,336,0.16,11,57,4,WB,Santosh Barman,IND,,SC,MALE,33,,57,2026,AE
1952546,Ananta Barman,IND,23709,259,0.13,12,57,4,WB,Ananta Barman,IND,,SC,MALE,29,,57,2026,AE
1952547,Koushik Bhattacharjee,IND,23709,245,0.12,13,57,4,WB,Koushik Bhattacharjee,IND,,GENERAL,MALE,43,,57,2026,AE
1952548,Rashidul Alam,IND,23709,196,0.1,14,57,4,WB,Rashidul Alam,IND,,GENERAL,MALE,40,,57,2026,AE
1952549,Haridas Modak,AMB,24666,185,0.09,15,57,4,WB,Haridas Modak,AMB,,GENERAL,MALE,67,,57,2026,AE
1952550,Abhijit Dey,IND,23709,125,0.06,16,57,4,WB,Abhijit Dey,IND,,GENERAL,MALE,42,,57,2026,AE
1952551,Sabitri Barman,BJP,23707,144367,51.59,1,57,5,WB,Sabitri Barman,BJP,,SC,FEMALE,53,,57,2026,AE
1952552,Harihar Das,AITC,23705,119089,42.56,2,57,5,WB,Harihar Das,AITC,,SC,MALE,41,,57,2026,AE
1952553,Namadipti Roy Adhikary,CPI(M),23730,3979,1.42,3,57,5,WB,Namadipti Roy Adhikary,CPI(M),,SC,FEMALE,55,,57,2026,AE
1952554,Sukamal Barman,INC,23715,2522,0.9,4,57,5,WB,Sukamal Barman,INC,,SC,MALE,37,,57,2026,AE
1952555,Paresh Chandra Manta,IND,23709,1684,0.6,5,57,5,WB,Paresh Chandra Manta,IND,,SC,MALE,39,,57,2026,AE
1952556,Nota,NOTA,23703,1654,0.59,6,57,5,WB,Nota,NOTA,,,,,,57,2026,AE
1952557,Manik Chandra Barman,KPPU,23733,1506,0.54,7,57,5,WB,Manik Chandra Barman,KPPU,,SC,MALE,44,,57,2026,AE
1952558,Kamal Barman,AMB,24666,1352,0.48,8,57,5,WB,Kamal Barman,AMB,,SC,MALE,58,,57,2026,AE
1952559,Gajendra Barman,IND,23709,1199,0.43,9,57,5,WB,Gajendra Barman,IND,,SC,MALE,72,,57,2026,AE
1952560,Shyamsundar Ray,BSP,23704,945,0.34,10,57,5,WB,Shyamsundar Ray,BSP,,SC,MALE,44,,57,2026,AE
1952561,Jagadish Adhikari,SUCI,23712,773,0.28,11,57,5,WB,Jagadish Adhikari,SUCI,,SC,MALE,59,,57,2026,AE
1952562,Harekrishna Sarkar,IND,23709,752,0.27,12,57,5,WB,Harekrishna Sarkar,IND,,SC,MALE,54,,57,2026,AE
1952563,Sangita Roy,AITC,23705,128188,48.31,1,57,6,WB,Sangita Roy,AITC,,SC,FEMALE,54,,57,2026,AE
1952564,Ashutosh Barma,BJP,23707,125467,47.29,2,57,6,WB,Ashutosh Barma,BJP,,SC,MALE,63,,57,2026,AE
1952565,Rabin Roy,INC,23715,3262,1.23,3,57,6,WB,Rabin Roy,INC,,SC,MALE,72,,57,2026,AE
1952566,Arun Kumar Barma,AIFB,23723,2105,0.79,4,57,6,WB,Arun Kumar Barma,AIFB,,SC,MALE,54,,57,2026,AE
1952567,Binapani Ray,SUCI,23712,1809,0.68,5,57,6,WB,Binapani Ray,SUCI,,SC,FEMALE,51,,57,2026,AE
1952568,Manik Roy,AJUP,34014,1384,0.52,6,57,6,WB,Manik Roy,AJUP,,SC,MALE,48,,57,2026,AE
1952569,Nota,NOTA,23703,1324,0.5,7,57,6,WB,Nota,NOTA,,,,,,57,2026,AE
1952570,Sunil Chandra Mahanta,IND,23709,1241,0.47,8,57,6,WB,Sunil Chandra Mahanta,IND,,SC,MALE,57,,57,2026,AE
1952571,Goutam Roy,IND,23709,539,0.2,9,57,6,WB,Goutam Roy,IND,,SC,MALE,44,,57,2026,AE
1952572,Ajay Ray,BJP,23707,138255,51.6,1,57,7,WB,Ajay Ray,BJP,,GENERAL,MALE,48,,57,2026,AE
1952573,Udayan Guha,AITC,23705,120808,45.09,2,57,7,WB,Udayan Guha,AITC,,GENERAL,MALE,71,,57,2026,AE
1952574,Bikas Mandal,AIFB,23723,3042,1.14,3,57,7,WB,Bikas Mandal,AIFB,,GENERAL,MALE,72,,57,2026,AE
