el_res_id,ca_full_name,party_abb,party_id,el_vote_count,el_vote_perc,el_rank,el_id,ac_no,state_abb,original_ca_full_name,original_party_abb,caste,caste_category,gender,age,incumbency,el_id,el_year,el_type
1891574,Dr. Jayanta Kumar Roy,BJP,23707,87140,46.0953328078796,1,37,1,WB,Dr. Jayanta Kumar Roy,BJP,,,,,False,37,2019,GE
1891575,Bijoy Chandra Barman,AITC,23705,82435,43.6064810651544,2,37,1,WB,Bijoy Chandra Barman,AITC,,,,,True,37,2019,GE
1891576,Bhagirath Chandra Roy,CPIM,23718,8153,4.31277540030575,3,37,1,WB,Bhagirath Chandra Roy,CPIM,,,,,False,37,2019,GE
1891577,Mani Kumar Darnal,INC,23715,3436,1.81757589543119,4,37,1,WB,Mani Kumar Darnal,INC,,,,,False,37,2019,GE
1891578,None Of The Above,NOTA,23731,2275,1.20342990748136,5,37,1,WB,None Of The Above,NOTA,,,,,False,37,2019,GE
1891579,Subash Biswas,IND,23709,1312,0.694021994995847,6,37,1,WB,Subash Biswas,IND,,,,,False,37,2019,GE
1891580,Haribhakta Sardar,SUCI(C),23721,1251,0.661754204069973,7,37,1,WB,Haribhakta Sardar,SUCI(C),,,,,False,37,2019,GE
1891581,Jiban Krishna Majumder,BSP,23704,1224,0.64747173923393,8,37,1,WB,Jiban Krishna Majumder,BSP,,,,,False,37,2019,GE
1891582,Hare Krishna Sarkar,IND,23709,741,0.391974312722502,9,37,1,WB,Hare Krishna Sarkar,IND,,,,,False,37,2019,GE
1891583,Sachimohan Barman,IND,23709,383,0.202599408600159,10,37,1,WB,Sachimohan Barman,IND,,,,,False,37,2019,GE
1891584,Khushi Ranjan Mondal,AMB,24666,257,0.13594790603196,11,37,1,WB,Khushi Ranjan Mondal,AMB,,,,,False,37,2019,GE
1891585,Subal Chandra Roy,KPPU,23733,228,0.120607480837693,12,37,1,WB,Subal Chandra Roy,KPPU,,,,,False,37,2019,GE
1891586,Ranjit Kumar Roy,SWJP,24667,208,0.110027877255439,13,37,1,WB,Ranjit Kumar Roy,SWJP,,,,,False,37,2019,GE
1891638,Nisith Pramanik,BJP,23707,107063,51.6307152192049,1,37,2,WB,Nisith Pramanik,BJP,,,,,False,37,2019,GE
1891639,Adhikary Paresh Chandra,AITC,23705,86188,41.5638276838201,2,37,2,WB,Adhikary Paresh Chandra,AITC,,,,,True,37,2019,GE
1891640,Gobinda Chandra Roy,AIFB,23723,5757,2.77629085227354,3,37,2,WB,Gobinda Chandra Roy,AIFB,,,,,False,37,2019,GE
1891641,Piya Roy Chowdhury,INC,23715,3012,1.45252528175228,4,37,2,WB,Piya Roy Chowdhury,INC,,,,,False,37,2019,GE
1891642,None Of The Above,NOTA,23731,1845,0.889744071989699,5,37,2,WB,None Of The Above,NOTA,,,,,False,37,2019,GE
1891643,Nirmal Kumar Roy,IND,23709,1033,0.498160231092335,6,37,2,WB,Nirmal Kumar Roy,IND,,,,,False,37,2019,GE
1891644,Hare Krishna Sarkar,IND,23709,799,0.385314641474129,7,37,2,WB,Hare Krishna Sarkar,IND,,,,,False,37,2019,GE
1891645,Naresh Chandra Roy,IND,23709,509,0.245463269725071,8,37,2,WB,Naresh Chandra Roy,IND,,,,,False,37,2019,GE
1891646,Prabhat Roy,SUCI(C),23721,367,0.17698432217898,9,37,2,WB,Prabhat Roy,SUCI(C),,,,,False,37,2019,GE
1891647,Kangsa Raj Barman,KPPU,23733,306,0.14756730950073,10,37,2,WB,Kangsa Raj Barman,KPPU,,,,,False,37,2019,GE
1891649,Subodh Barman,AMB,24666,242,0.116703558494041,11,37,2,WB,Subodh Barman,AMB,,,,,False,37,2019,GE
1891648,Dhananjoy Barman,WPOI,23710,242,0.116703558494041,11,37,2,WB,Dhananjoy Barman,WPOI,,,,,False,37,2019,GE
1891697,Nisith Pramanik,BJP,23707,118606,51.2733387803096,1,37,3,WB,Nisith Pramanik,BJP,,,,,False,37,2019,GE
1891698,Adhikary Paresh Chandra,AITC,23705,91380,39.5035470190773,2,37,3,WB,Adhikary Paresh Chandra,AITC,,,,,True,37,2019,GE
1891699,Gobinda Chandra Roy,AIFB,23723,9910,4.28409007396647,3,37,3,WB,Gobinda Chandra Roy,AIFB,,,,,False,37,2019,GE
1891700,Piya Roy Chowdhury,INC,23715,5664,2.4485455276434,4,37,3,WB,Piya Roy Chowdhury,INC,,,,,False,37,2019,GE
1891701,None Of The Above,NOTA,23731,2087,0.902209483790922,5,37,3,WB,None Of The Above,NOTA,,,,,False,37,2019,GE
1891702,Nirmal Kumar Roy,IND,23709,890,0.384746737217978,6,37,3,WB,Nirmal Kumar Roy,IND,,,,,False,37,2019,GE
